player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Mike Dunn,Peter Lines,9,1274,1223,0.5779144942909848,0.5318318894162242,572,303,4262,2196,649,357,4818,2518,183,99,636,315,144,63,677,325,5,4,0.0,0.5555555555555556,1033
Graeme Dott,Rory McLeod,9,1395,1269,0.6860941115953165,0.5781052328843092,658,385,5224,2789,439,242,3394,1782,274,157,1051,579,153,74,714,364,5,4,0.0,0.5555555555555556,1033
Yu Delu,Duane Jones,9,1257,1271,0.4784777823974459,0.4912508931197597,161,81,1120,571,86,53,478,283,127,57,762,397,63,42,331,200,5,3,0.0,0.625,1033
Jack Lisowski,Dominic Dale,9,1307,1453,0.2872693867047187,0.40974974806981657,266,161,1710,935,700,403,5290,2827,183,93,795,409,289,170,1094,582,3,5,1.0,0.375,1033
Ali Carter,Jamie Jones,9,1516,1350,0.7381925501749662,0.6022861768886306,686,410,4986,2738,350,212,2325,1271,55,24,920,518,240,134,874,464,5,0,0.0,1.0,1033
Nigel Bond,Barry Pinches,9,1268,1214,0.5824304989902049,0.5336988354329009,756,425,6120,3250,664,349,5273,2750,149,74,688,346,165,81,604,275,5,2,0.0,0.7142857142857143,1033
Sam Baird,Zhao Xintong,9,1292,1273,0.5291961843292591,0.5118727677562528,211,113,1448,750,41,23,279,153,191,99,780,408,104,54,279,153,2,5,1.0,0.2857142857142857,1033
Yu Delu,Chen Zifan,9,1257,1037,0.8004056355270881,0.6341355910108007,161,81,1120,571,16,8,87,41,127,57,762,397,37,14,87,41,5,2,0.0,0.7142857142857143,1033
Luca Brecel,Yuan Sijun,9,1276,965,0.8819527499348307,0.6851410567502929,153,77,1067,545,9,1,53,15,207,112,810,424,13,4,53,15,5,2,0.0,0.7142857142857143,1033
John Astley,Yan Bingtao,9,1126,1161,0.4463382005151679,0.4781389460283984,111,53,674,316,19,11,119,67,116,43,443,204,80,44,119,67,5,2,0.0,0.7142857142857143,1033
Jimmy White,Alfie Burden,9,1218,1237,0.4708038156707409,0.4881272322437472,1336,761,11611,6140,538,291,4010,2071,185,89,801,377,132,60,789,392,5,3,0.0,0.625,1033
Xiao Guodong,Ricky Walden,9,1422,1497,0.38630986299123704,0.45326184801538616,271,158,1859,1024,582,360,4272,2381,224,131,917,505,387,235,1374,767,3,5,1.0,0.375,1033
Martin O'Donnell,Craig Steadman,9,1210,1316,0.3416025347215279,0.4341349971045183,199,94,1182,590,320,184,2096,1129,149,87,529,263,237,134,671,338,4,5,1.0,0.4444444444444444,1033
Mark Selby,Nigel Bond,9,1645,1268,0.9234293253223332,0.7196043690484492,768,521,5625,3241,756,425,6120,3250,311,188,1738,1053,149,74,688,346,5,1,0.0,0.8333333333333334,1033
Neil Robertson,Mark Williams,9,1578,1445,0.6955437518522246,0.5823675407280794,651,424,4878,2759,1064,696,8468,4838,362,215,1679,989,318,187,1195,679,5,4,0.0,0.5555555555555556,1033
Fergal O'Brien,Jamie O'Neill,9,1353,1173,0.755265781097029,0.6106392339492219,704,404,5512,2915,255,132,1621,839,189,105,734,383,70,34,406,189,2,5,1.0,0.2857142857142857,1033
Shaun Murphy,Dechawat Poomjaeng,9,1492,1347,0.7114258135090068,0.5896454785627312,731,472,5537,3129,154,86,1116,571,363,217,1491,838,267,144,960,503,5,0,0.0,1.0,1033
Mark King,Marco Fu,9,1288,1470,0.2423475618219618,0.3881726309982629,729,400,5499,2868,642,380,4868,2635,174,86,867,446,284,159,1265,716,5,3,0.0,0.625,1033
Ding Junhui,Thepchaiya Un-Nooh,9,1501,1278,0.8035658834232549,0.6358738914270539,533,352,3928,2231,160,88,1153,605,182,108,1293,765,220,120,762,396,5,3,0.0,0.625,1033
Michael White,John Higgins,9,1425,1391,0.552137946233821,0.5212372149662741,262,148,1879,1006,1115,789,9194,5421,279,157,961,526,271,148,1147,661,1,5,1.0,0.16666666666666663,1033
Peter Ebdon,Judd Trump,9,1388,1556,0.2593296623755984,0.3965167501352737,888,514,7253,3904,556,367,3863,2233,235,141,966,498,419,256,1641,959,5,4,0.0,0.5555555555555556,1033
Mike Dunn,Tian Pengfei,9,1274,1343,0.3951723853245839,0.4569816192756902,572,303,4262,2196,241,136,1614,859,183,99,636,315,183,100,747,387,5,3,0.0,0.625,1033
Graeme Dott,Dave Harold,9,1395,1220,0.7492413698670223,0.6076631698328917,658,385,5224,2789,678,380,5292,2779,274,157,1051,579,59,19,598,297,5,4,0.0,0.5555555555555556,1033
James Wattana,Yu Delu,9,1181,1257,0.3848386740091907,0.45264238185691064,729,410,6238,3319,161,81,1120,571,99,43,639,299,127,57,762,397,1,5,1.0,0.16666666666666663,1033
Ali Carter,Matthew Selt,9,1516,1393,0.682004145502627,0.5762749224932653,686,410,4986,2738,354,188,2494,1286,55,24,920,518,284,173,775,403,5,2,0.0,0.7142857142857143,1033
Luca Brecel,Dominic Dale,9,1276,1453,0.2483390065901571,0.3911454307890496,153,77,1067,545,700,403,5290,2827,207,112,810,424,289,170,1094,582,5,1,0.0,0.8333333333333334,1033
Shaun Murphy,Ricky Walden,9,1492,1497,0.4923100709602254,0.4968750406894684,731,472,5537,3129,582,360,4272,2381,363,217,1491,838,387,235,1374,767,3,5,1.0,0.375,1033
Mark Selby,Jimmy White,9,1645,1218,0.9463504994567924,0.7441211943032843,768,521,5625,3241,1336,761,11611,6140,311,188,1738,1053,185,89,801,377,5,1,0.0,0.8333333333333334,1033
Yu Delu,Neil Robertson,9,1257,1578,0.11085851449144135,0.30949099877242925,161,81,1120,571,651,424,4878,2759,127,57,762,397,362,215,1679,989,4,5,1.0,0.4444444444444444,1033
Mark King,Jamie O'Neill,9,1288,1173,0.6709840397710257,0.5713839816769324,729,400,5499,2868,255,132,1621,839,174,86,867,446,70,34,406,189,5,3,0.0,0.625,1033
