player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Mark Williams,David John,7,1532,1060,0.942419406953421,0.7649478037637647,1201,790,9267,5311,67,32,457,221,127,76,1117,660,22,2,60,21,4,2,0.0,0.6666666666666666,2245
Michael White,Jason Weston,7,1388,1124,0.8151364341594428,0.6592603884513855,361,209,2479,1329,291,160,2248,1181,77,41,879,480,25,5,161,68,4,0,0.0,1.0,2245
Liang Wenbo,Graeme Dott,7,1403,1419,0.4781366606027012,0.4900013331200346,485,292,3349,1848,749,441,5802,3119,111,61,974,544,52,29,852,487,4,0,0.0,1.0,2245
Daniel Wells,Alfie Burden,7,1295,1261,0.5463726874746992,0.5212372149662741,286,141,1922,958,596,322,4342,2241,72,39,497,251,33,11,464,230,4,3,0.0,0.5714285714285714,2245
James Wattana,Eden Sharav,7,1155,1184,0.46042091137016095,0.4818829349568186,761,421,6458,3407,90,49,525,262,56,25,319,131,41,17,384,188,4,1,0.0,0.8,2245
Lee Walker,Aditya Mehta,7,1232,1296,0.4132404983976814,0.46008511544443426,399,224,3127,1623,249,125,1714,855,43,17,356,170,57,28,494,251,4,3,0.0,0.5714285714285714,2245
Ricky Walden,Robin Hull,7,1463,1368,0.6274848196821066,0.559097471902393,677,418,4867,2716,468,283,3613,1991,113,65,982,570,71,38,436,228,4,1,0.0,0.8,2245
Chris Wakelin,Allan Taylor,7,1297,1146,0.6970755073607001,0.5932699921071872,110,57,728,371,234,112,1371,685,62,32,516,262,29,7,350,141,4,3,0.0,0.5714285714285714,2245
Judd Trump,Ken Doherty,7,1538,1263,0.8247679763275149,0.665410558746814,729,486,4945,2894,1060,650,8712,4798,137,80,1501,917,38,16,589,296,4,1,0.0,0.8,2245
Joe Swail,Itaro Santos,7,1268,923,0.8780529423159423,0.7031827112198086,772,417,6114,3188,74,22,422,165,44,21,620,319,17,3,38,8,4,1,0.0,0.8,2245
Craig Steadman,Mark Joyce,7,1269,1377,0.3558484820461031,0.4329070950345457,367,204,2438,1291,384,204,2765,1410,36,15,579,296,62,32,573,296,4,3,0.0,0.5714285714285714,2245
Akani Songsermsawad,Kurt Dunham,7,1100,986,0.651748409886971,0.5707716118944918,18,7,125,55,5,1,30,8,57,26,86,38,30,8,30,8,4,0,0.0,1.0,2245
Elliot Slessor,Sam Baird,7,1173,1345,0.278509149386796,0.3941263315682394,103,43,617,281,266,142,1813,939,29,9,355,158,77,40,556,288,4,3,0.0,0.5714285714285714,2245
Matthew Selt,Joe Perry,7,1391,1500,0.3545779913833035,0.43229345192664,453,249,3150,1649,910,540,6592,3565,35,14,940,536,121,67,1113,643,4,2,0.0,0.6666666666666666,2245
Mark Selby,Gary Wilson,7,1677,1347,0.8677841579315165,0.6952966693475653,896,614,6546,3812,325,191,2096,1144,170,115,1232,759,62,32,562,283,4,0,0.0,1.0,2245
Noppon Saengkham,Michael Georgiou,7,1208,1266,0.42125508861179106,0.4638133797682053,136,57,967,440,146,67,892,433,46,21,556,261,57,28,427,211,4,1,0.0,0.8,2245
Neil Robertson,Hamza Akbar,7,1529,987,0.9636747910292415,0.7949458649106351,767,499,5674,3228,7,0,49,13,85,45,1158,684,20,4,49,13,4,1,0.0,0.8,2245
Ian Preece,Oliver Lines,7,1151,1301,0.3041121924541114,0.40733340004593027,173,96,1287,664,137,76,836,438,22,5,22,5,69,33,509,258,4,1,0.0,0.8,2245
