player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Oliver Lines,Lyu Haotian,11,1174,1335,0.24807538742502389,0.4007118364916439,218,101,1410,682,150,65,1101,520,70,21,443,185,133,67,555,277,4,6,1.0,0.4,2856
Zhou Yuelong,Li Hang,11,1444,1350,0.6547593621837767,0.5584811124381615,248,141,1710,914,307,159,2219,1147,200,111,872,476,202,109,735,384,3,6,1.0,0.33333333333333337,2856
Gerard Greene,Chris Wakelin,11,1234,1396,0.2467483214475941,0.4001116311360017,732,387,5432,2813,223,115,1529,788,94,37,440,199,148,79,637,341,6,2,0.0,0.75,2856
David Gilbert,Matthew Selt,11,1550,1372,0.7739370957025349,0.6094497836283252,666,385,4858,2613,605,329,4129,2159,380,222,1176,642,185,97,697,355,6,4,0.0,0.6,2856
Peter Ebdon,Yan Bingtao,11,1316,1442,0.2969181381036065,0.4218947671156908,1113,635,8725,4679,190,118,1373,769,117,52,675,357,293,165,947,539,6,2,0.0,0.75,2856
Scott Donaldson,Joe Perry,11,1377,1531,0.2574749952979717,0.4049215261338659,277,142,1904,956,1129,678,8099,4418,198,106,682,359,325,194,1163,669,6,4,0.0,0.6,2856
Ken Doherty,Mark Williams,11,1239,1498,0.1380252723863991,0.343553127543394,1158,697,9407,5129,1489,979,11201,6436,136,61,537,256,225,126,1480,875,6,4,0.0,0.6,2856
Sam Craigie,Ryan Day,11,1347,1335,0.5202936020488736,0.5074994375506203,191,95,1198,615,1044,628,7149,3933,117,57,479,236,163,80,1387,751,6,1,0.0,0.8571428571428571,2856
Ali Carter,Kurt Maflin,11,1465,1372,0.6532003138381255,0.5578645727207344,994,604,7042,3893,571,327,3882,2090,296,166,1065,593,225,128,679,359,6,5,0.0,0.5454545454545454,2856
Jamie Clarke,Stuart Carrington,11,1155,1341,0.21611484197711373,0.3858003572231049,173,82,1034,515,373,207,2452,1291,68,20,265,109,136,71,683,360,4,6,1.0,0.4,2856
Luca Brecel,Sam Baird,11,1326,1234,0.6516385567369204,0.5572478545985555,398,222,2732,1453,368,187,2554,1296,156,79,909,488,86,33,507,237,6,1,0.0,0.8571428571428571,2856
Stuart Bingham,Elliot Slessor,11,1491,1289,0.8029711015893946,0.623633628298226,1149,731,8339,4751,199,88,1259,591,239,131,1085,620,125,58,537,259,6,0,0.0,1.0,2856
Andrew Higginson,Ben Woollaston,11,1315,1334,0.46789022977733996,0.4881272322437472,749,440,5316,2897,643,364,4198,2227,138,68,613,313,183,93,847,440,3,6,1.0,0.33333333333333337,2856
Liang Wenbo,Craig Steadman,11,1411,1295,0.6883260125487248,0.5719961329315186,652,390,4569,2509,473,251,3133,1628,202,110,836,442,102,46,524,251,6,5,0.0,0.5454545454545454,2856
Ken Doherty,Ricky Walden,11,1239,1421,0.22105550059368184,0.38817263099826294,1158,697,9407,5129,907,545,6336,3489,136,61,537,256,197,112,1024,548,1,6,1.0,0.1428571428571429,2856
Joe O'Connor,Hossein Vafaei,11,1275,1403,0.29400737437698665,0.4206757478512505,122,57,780,376,132,76,1041,533,137,69,323,161,153,83,628,329,3,6,1.0,0.33333333333333337,2856
Mei Xiwen,Neil Robertson,11,1374,1580,0.19242847998463541,0.37402214223339625,139,68,953,478,979,645,7181,4110,150,80,539,269,259,153,1223,715,3,6,1.0,0.33333333333333337,2856
Mark King,Lu Ning,11,1371,1339,0.5539679003439106,0.5199893401555817,996,559,7276,3841,121,54,833,399,150,80,896,486,144,75,368,201,2,6,1.0,0.25,2856
Stuart Carrington,Alan McManus,11,1341,1316,0.5422149042901065,0.5156199157230156,373,207,2452,1291,965,567,8036,4257,136,71,683,360,141,71,572,291,0,6,1.0,0.0,2856
Anthony McGill,Stephen Maguire,11,1366,1472,0.3267519546873183,0.4341349971045183,549,331,3614,1974,1014,670,7466,4246,207,107,997,520,300,170,1206,687,6,3,0.0,0.6666666666666666,2856
Jack Lisowski,Gerard Greene,11,1487,1234,0.8564268061981422,0.6530561132866127,494,306,3293,1826,732,387,5432,2813,207,124,1016,593,94,37,440,199,6,3,0.0,0.6666666666666666,2856
Kyren Wilson,Rod Lawler,11,1511,1173,0.9212273992918785,0.6995172276624275,576,360,3871,2159,836,441,6319,3236,318,186,1547,878,77,26,368,141,4,6,1.0,0.4,2856
