player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Shaun Murphy,Marc Davis,7,1582,1084,0.9512956927774616,0.7764331373333982,920,606,6800,3891,112,50,596,277,360,213,1626,979,59,26,207,105,4,2,0.0,0.6666666666666666,1363
Daniel Wells,Ross Muir,7,1288,1172,0.6542665688127887,0.5719961329315186,302,149,2029,1009,112,41,752,332,179,90,604,302,146,65,535,231,0,4,1.0,0.0,1363
Rod Lawler,David Morris,7,1268,1285,0.47677179802309366,0.48937659899503627,769,420,5901,3069,241,124,1789,904,205,96,771,387,39,19,372,179,3,4,1.0,0.4285714285714286,1363
Rory McLeod,Chris Melling,7,1242,1127,0.6530083881296338,0.5713839816769324,514,280,3855,2006,168,91,1150,591,176,81,614,298,42,18,293,126,4,1,0.0,0.8,1363
Mitchell Mann,Sanderson Lam,7,1222,1141,0.6092484254460553,0.5504527113395278,196,91,1239,599,106,45,631,286,184,82,476,212,112,44,408,186,4,3,0.0,0.5714285714285714,1363
Matthew Stevens,Stephen Maguire,7,1381,1477,0.3712235715309694,0.4402863507328071,885,521,6896,3765,833,552,6132,3489,227,128,810,425,328,194,1265,734,2,4,1.0,0.33333333333333337,1363
Kurt Maflin,Michael Rhodes,7,1333,1146,0.7382850049697135,0.6147918694922195,468,271,3145,1696,144,89,1018,563,239,128,792,406,24,13,24,13,4,1,0.0,0.8,1363
Jack Lisowski,Cao Yupeng,7,1343,1241,0.6364932182719292,0.5634067862621936,340,200,2232,1208,198,98,1430,716,206,111,705,366,136,61,515,251,4,2,0.0,0.6666666666666666,1363
Peter Lines,Robert Milkins,7,1283,1352,0.4065907825999159,0.4569816192756902,722,391,5292,2751,756,459,5618,3062,200,105,618,296,275,143,1126,596,4,1,0.0,0.8,1363
Mark King,Michael Wild,7,1423,1165,0.8097380368967944,0.6558828412078137,852,476,6301,3307,290,156,1771,943,279,155,976,525,113,42,169,65,4,2,0.0,0.6666666666666666,1363
Mark Williams,Ding Junhui,7,1462,1579,0.34447706088090835,0.42739193613673987,1232,808,9499,5438,655,440,4985,2854,359,203,1349,787,511,300,1239,731,1,4,1.0,0.19999999999999996,1363
