player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Graeme Dott,Wu Yize,7,1339,1336,0.5041014855971089,0.5018749912109869,1171,683,8392,4514,97,46,680,340,37,20,560,295,34,17,466,244,4,2,0.0,0.6666666666666666
Ryan Day,David Lilley,7,1346,1312,0.5463726874746992,0.5212372149662741,1298,766,8533,4645,246,123,1457,734,108,53,814,424,54,29,413,202,4,2,0.0,0.6666666666666666
Dominic Dale,Alfie Davies,7,1295,1097,0.7502408354966205,0.6212835951910678,1101,611,7604,3999,27,16,144,77,35,14,396,193,21,11,144,77,4,3,0.0,0.5714285714285714
Luca Brecel,Joe O'Connor,7,1450,1441,0.5123026114255715,0.5056247627073255,632,368,4233,2290,289,143,1790,900,34,15,745,407,118,64,598,315,4,0,0.0,1.0
Mark Allen,Ma Hailong,7,1532,1061,0.9420526291744534,0.7644979994081456,1057,701,7424,4221,23,6,147,57,87,46,916,524,12,2,147,57,4,0,0.0,1.0
Aaron Hill,Fan Zhengyi,7,1309,1390,0.3907515745539447,0.4495472886604722,113,51,653,313,174,74,1118,508,32,15,447,231,104,55,617,322,1,4,1.0,0.19999999999999996
Jack Lisowski,Gary Wilson,7,1439,1409,0.5409388610739394,0.5187412158785352,782,476,5071,2772,714,408,4540,2438,38,16,843,461,116,57,748,387,3,4,1.0,0.4285714285714286
Robbie Williams,Adam Duffy,7,1407,1111,0.8422000503552975,0.676995856238523,546,293,3482,1789,426,203,2678,1325,39,19,459,250,15,6,256,103,4,2,0.0,0.6666666666666666
Ricky Walden,Neil Robertson,7,1388,1514,0.3332532758471846,0.4218947671156908,1155,682,7743,4236,1263,837,9255,5324,124,61,802,423,156,92,870,493,4,2,0.0,0.6666666666666666
Dylan Emery,Elliot Slessor,7,1237,1401,0.28768943450591145,0.3989121211516302,107,47,598,288,365,177,2214,1085,16,6,324,158,109,60,538,276,1,4,1.0,0.19999999999999996
Duane Jones,Matthew Selt,7,1219,1399,0.2694830544075628,0.38936076605077796,313,141,1854,901,866,469,5565,2896,0,0,292,137,61,28,812,411,1,4,1.0,0.19999999999999996
Martin O'Donnell,Anthony Hamilton,7,1304,1255,0.5666587144886649,0.530586760182081,491,248,3044,1537,1038,588,7604,4002,21,9,327,159,14,4,387,184,4,2,0.0,0.6666666666666666
David Gilbert,Robert Milkins,7,1440,1339,0.6352110684578025,0.5627917401386452,931,541,6343,3426,1127,650,7808,4171,47,24,613,331,66,25,849,429,0,4,1.0,0.0
Mark Williams,Anthony McGill,7,1510,1420,0.6210041469292467,0.55601389054462,1775,1164,12940,7429,745,444,4949,2692,45,22,827,483,6,1,558,306,1,4,1.0,0.19999999999999996
Hossein Vafaei,Jak Jones,7,1502,1412,0.6210041469292467,0.55601389054462,315,190,2195,1167,378,180,2397,1133,51,30,718,412,51,30,560,300,2,4,1.0,0.33333333333333337
Ryan Day,John Higgins,7,1346,1555,0.23811807969339294,0.3722678361394811,1298,766,8533,4645,1859,1311,14361,8470,108,53,814,424,182,100,1146,658,1,4,1.0,0.19999999999999996
Daniel Wells,Marco Fu,7,1419,1359,0.5814204865006771,0.5374298453437496,513,257,3358,1685,959,560,7162,3876,37,20,435,249,20,9,296,145,2,4,1.0,0.33333333333333337
Barry Hawkins,Tom Ford,7,1553,1452,0.6352110684578025,0.5627917401386452,1334,835,9145,5129,932,533,6320,3378,124,71,807,469,77,40,810,434,1,4,1.0,0.19999999999999996
Dominic Dale,Stan Moody,7,1295,1110,0.7360780864464773,0.6136070778047783,1101,611,7604,3999,42,14,239,103,35,14,396,193,14,4,203,88,4,1,0.0,0.8
Graeme Dott,Luca Brecel,7,1339,1450,0.35204218100893325,0.4310667906304535,1171,683,8392,4514,632,368,4233,2290,37,20,560,295,34,15,745,407,1,4,1.0,0.19999999999999996
Mark Allen,Si Jiahui,7,1532,1456,0.6026704349193375,0.5473576181430894,1057,701,7424,4221,165,89,1069,568,87,46,916,524,72,43,645,348,4,1,0.0,0.8
Robert Milkins,Gary Wilson,7,1339,1409,0.40526420278841824,0.45636131276292113,1127,650,7808,4171,714,408,4540,2438,66,25,849,429,116,57,748,387,0,4,1.0,0.0
Fan Zhengyi,Elliot Slessor,7,1390,1401,0.48496472766542076,0.49312543323546576,174,74,1118,508,365,177,2214,1085,104,55,617,322,109,60,538,276,3,4,1.0,0.4285714285714286
Marco Fu,Martin O'Donnell,7,1359,1304,0.5747243219334544,0.5343209436693046,959,560,7162,3876,491,248,3044,1537,20,9,296,145,21,9,327,159,2,4,1.0,0.33333333333333337
Ricky Walden,Anthony McGill,7,1388,1420,0.4563431395453439,0.48001065984441815,1155,682,7743,4236,745,444,4949,2692,124,61,802,423,6,1,558,306,3,4,1.0,0.4285714285714286
Matthew Selt,John Higgins,7,1399,1555,0.2970193973349833,0.4037173007032121,866,469,5565,2896,1859,1311,14361,8470,61,28,812,411,182,100,1146,658,3,4,1.0,0.4285714285714286
Dominic Dale,Jak Jones,7,1295,1412,0.3444770608809082,0.4273919361367398,1101,611,7604,3999,378,180,2397,1133,35,14,396,193,51,30,560,300,4,0,0.0,1.0
Luca Brecel,Tom Ford,7,1450,1452,0.4972656477862734,0.4987500026041602,632,368,4233,2290,932,533,6320,3378,34,15,745,407,77,40,810,434,4,1,0.0,0.8
Mark Allen,Robbie Williams,7,1532,1407,0.6655072126279344,0.5774953651858118,1057,701,7424,4221,546,293,3482,1789,87,46,916,524,39,19,459,250,4,0,0.0,1.0
Anthony McGill,Gary Wilson,9,1420,1409,0.516913615694622,0.5068745667645342,745,444,4949,2692,714,408,4540,2438,6,1,558,306,116,57,748,387,0,5,1.0,0.0
Elliot Slessor,Dominic Dale,9,1401,1295,0.6583974652784721,0.5658650028954817,365,177,2214,1085,1101,611,7604,3999,109,60,538,276,35,14,396,193,5,3,0.0,0.625
Martin O'Donnell,Luca Brecel,9,1304,1450,0.2872693867047188,0.4097497480698165,491,248,3044,1537,632,368,4233,2290,21,9,327,159,34,15,745,407,5,3,0.0,0.625
John Higgins,Mark Allen,9,1555,1532,0.5353273068487134,0.5143710406970602,1859,1311,14361,8470,1057,701,7424,4221,182,100,1146,658,87,46,916,524,5,2,0.0,0.7142857142857143
Gary Wilson,John Higgins,11,1409,1555,0.26844922522726,0.4097497480698165,714,408,4540,2438,1859,1311,14361,8470,116,57,748,387,182,100,1146,658,6,4,0.0,0.6
Elliot Slessor,Martin O'Donnell,11,1401,1304,0.6594200145668188,0.5603296426885533,365,177,2214,1085,491,248,3044,1537,109,60,538,276,21,9,327,159,5,6,1.0,0.4545454545454546
Martin O'Donnell,Gary Wilson,19,1304,1409,0.28134145583980774,0.4347492524329001,491,248,3044,1537,714,408,4540,2438,21,9,327,159,116,57,748,387,4,9,1.0,0.3076923076923077
Gary Wilson,Hossein Vafaei,11,1488,1504,0.4729513273017054,0.4900013331200346,721,415,4590,2474,318,192,2211,1177,166,93,798,423,67,40,734,422,6,4,0.0,0.6
Judd Trump,Chris Wakelin,11,1694,1426,0.8700081127630673,0.6615031592029524,1433,1029,9838,5948,413,222,2614,1348,179,119,1400,859,143,71,715,385,6,2,0.0,0.75
Barry Hawkins,Mark Selby,11,1546,1555,0.4847768026393151,0.4943752372926745,1337,837,9161,5138,1553,1062,11040,6430,140,80,823,478,172,98,1102,628,3,6,1.0,0.33333333333333337
Ronnie O'Sullivan,Zhou Yuelong,11,1661,1473,0.7863303004766008,0.6153837563911821,1512,1155,13051,7967,493,294,3101,1680,136,84,962,582,50,26,793,427,6,2,0.0,0.75
Ding Junhui,John Higgins,11,1529,1571,0.4293301031522295,0.4737740906279313,990,661,7593,4326,1865,1316,14399,8495,113,60,844,474,220,125,1184,683,4,6,1.0,0.4
Tom Ford,Ali Carter,11,1459,1489,0.44938553709444296,0.48125878412146483,936,536,6343,3391,1308,806,8813,4872,100,53,833,447,144,78,1001,562,2,6,1.0,0.25
Zhang Anda,Noppon Saengkham,11,1460,1386,0.6230920690710587,0.5461185410457796,469,243,3247,1661,455,237,3082,1557,70,34,697,395,73,34,698,374,6,5,0.0,0.5454545454545454
Mark Allen,Mark Williams,11,1552,1492,0.6003837402395101,0.5374298453437496,1062,705,7451,4239,1778,1166,12958,7438,114,64,943,542,63,31,845,492,6,3,0.0,0.6666666666666666
Ronnie O'Sullivan,Mark Selby,11,1661,1555,0.6732480453126817,0.5658650028954817,1512,1155,13051,7967,1553,1062,11040,6430,136,84,962,582,172,98,1102,628,0,6,1.0,0.0
Judd Trump,Ali Carter,11,1694,1489,0.8064278766835025,0.6253923497205511,1433,1029,9838,5948,1308,806,8813,4872,179,119,1400,859,144,78,1001,562,4,6,1.0,0.4
Zhang Anda,John Higgins,11,1460,1571,0.319173996683754,0.4310667906304534,469,243,3247,1661,1865,1316,14399,8495,70,34,697,395,220,125,1184,683,6,4,0.0,0.6
Gary Wilson,Mark Allen,11,1488,1552,0.39308806614715563,0.4600851154444343,721,415,4590,2474,1062,705,7451,4239,166,93,798,423,114,64,943,542,4,6,1.0,0.4
Zhang Anda,Mark Selby,11,1460,1555,0.3436843223141096,0.440902528097607,469,243,3247,1661,1553,1062,11040,6430,70,34,697,395,172,98,1102,628,6,5,0.0,0.5454545454545454
Ali Carter,Mark Allen,11,1489,1552,0.3947172602751239,0.4607061941016405,1308,806,8813,4872,1062,705,7451,4239,144,78,1001,562,114,64,943,542,3,6,1.0,0.33333333333333337
Mark Allen,Zhang Anda,19,1552,1460,0.6940483969735175,0.5572478545985555,1062,705,7451,4239,469,243,3247,1661,114,64,943,542,70,34,697,395,10,8,0.0,0.5555555555555556
Ding Junhui,Omar Alajlani,7,1523,961,0.9683341721552914,0.8029761144061539,991,661,7603,4330,11,4,51,18,123,64,854,478,0,0,0,0,4,0,0.0,1.0
Ali Al Obaidly,John Higgins,7,987,1563,0.02872356309661883,0.19154534856146743,1,0,4,0,1867,1317,14419,8505,0,0,0,0,240,135,1204,693,0,4,1.0,0.0
Mark Williams,John Higgins,7,1483,1563,0.3920645840647389,0.45016600268752205,1779,1166,12967,7441,1867,1317,14419,8505,72,34,854,495,240,135,1204,693,2,4,1.0,0.33333333333333337
