player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Liang Xiaolong,Nattanapong Chaikul,7,0.48633097272882997,0.4937503255004896,12,7,62,35,19,11,105,56,7,3,62,35,23,15,75,44,1.0,0.33333333333333337
Chen Wei,Abhishek Bajaj,7,0.5245927745980454,0.5112481019468549,1,0,4,0,4,1,21,7,4,0,4,0,5,1,21,7,1.0,0.0
Muhammad Azhar Khan,Jaden Ong Jia Jun,7,0.4065907825999159,0.4569816192756902,7,0,33,5,9,4,50,24,6,2,25,5,12,6,50,24,0.0,0.6666666666666666
Muhammad Ahsan Javaid,Vorawit Thongweang,7,0.5987085312450529,0.5454987872127821,14,7,79,39,5,0,20,0,13,7,66,34,4,0,20,0,0.0,1.0
Pankaj Advani,Aamir-Sohail Ahmad,7,0.9261623827014096,0.7464939833376621,109,63,769,417,3,0,13,1,6,2,6,2,4,0,13,1,0.0,1.0
Zhang Zhijie,Luo Zetao,7,0.44414095234189244,0.4743974116753822,19,10,97,50,18,10,92,50,16,10,74,43,27,19,74,48,1.0,0.4285714285714286
Wang Yuhang,Hamza Akbar,7,0.3444770608809082,0.4273919361367398,2,0,9,0,88,28,536,210,9,0,9,0,11,7,53,28,0.0,1.0
Liu Yang,Yu Kiu Chang,7,0.4563431395453441,0.4800106598444182,9,6,45,27,31,16,183,93,9,5,45,27,13,7,77,43,0.0,1.0
Soheil Vahedi,Passakorn Sittikrai,7,0.7404818133197837,0.6159753019181258,136,49,799,343,4,1,25,10,4,0,4,0,6,2,25,10,0.0,0.8
Xu Jiarui,Muhammad Umar Khan,7,0.46178117660461016,0.48250714233361025,1,0,4,0,7,4,37,20,4,0,4,0,9,5,37,20,1.0,0.33333333333333337
Thanawat Thirapongpaiboon,Xing Zihao,7,0.5747243219334544,0.5343209436693046,179,81,1242,596,55,24,360,167,16,11,16,11,82,39,360,167,0.0,0.6666666666666666
Narongdat Takantong,Laxman Rawat,7,0.4549849461247727,0.4793866902855513,15,8,85,45,34,16,175,84,7,3,46,21,4,0,56,29,0.0,0.6666666666666666
Abhishek Bajaj,Chhay Suon,7,0.4346885316890212,0.47003594823542827,4,1,21,7,3,2,17,10,5,1,21,7,17,10,17,10,1.0,0.33333333333333337
Rana Mahmood,Chen Ruifu,7,0.4373854305872087,0.47128164304856035,1,0,6,2,19,8,102,49,6,2,6,2,12,6,12,6,1.0,0.19999999999999996
Chen Qien,Prin Ratmukda,7,0.5395790886298393,0.5181170650431814,4,3,21,14,10,5,52,26,21,14,21,14,10,6,52,26,0.0,0.8
Ridhimann Bawane,Manasawin Phetmalaikul,7,0.47267901795721334,0.48750260351578967,1,0,4,0,73,21,434,171,4,0,4,0,56,23,267,102,1.0,0.19999999999999996
Muhammad Ahsan Javaid,Tian Pengfei,7,0.21384775010020596,0.35835754679843657,14,7,79,39,583,316,3828,2007,13,7,66,34,49,20,441,213,1.0,0.33333333333333337
Yisong Peng,Pawaris Ngamkham,7,0.6765921632853334,0.5829754542011996,52,18,325,138,5,2,26,10,28,18,271,122,10,5,26,10,0.0,0.8
Hon Man Chau,Wan Nansen Sin Man,7,0.49726564778627314,0.49875000260416014,8,6,45,25,9,5,49,26,16,9,45,25,13,6,43,24,1.0,0.4285714285714286
Xian Ziheng,Siyavosh Mozayani,7,0.44684812561516707,0.47564429123179275,3,0,12,0,4,1,20,8,4,0,12,0,6,2,6,2,1.0,0.19999999999999996
Zhou Jinhao,Babar Masih,7,0.5733822622783318,0.5336988354329009,16,7,109,50,12,3,80,34,42,21,109,50,7,3,42,20,1.0,0.4285714285714286
