player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Liam Pullen,Mink Nutcharut,7,0.7134663824052628,0.6016871801828567,53,24,319,148,48,5,273,81,104,46,277,126,79,23,272,81,0.0,0.8
Manasawin Phetmalaikul,Ross Muir,7,0.1804429523596507,0.3379372751936011,59,17,330,128,294,117,1861,854,74,20,185,68,121,52,456,212,0.0,0.5714285714285714
Stan Moody,Dylan Emery,7,0.47404295972292854,0.4881272322437472,61,24,360,166,131,59,744,363,135,67,324,151,162,81,470,233,0.0,0.6666666666666666
Oliver Lines,Joshua Cooper,7,0.8340553716337187,0.6715050342254059,384,185,2307,1127,70,29,364,168,143,63,515,247,60,29,111,51,0.0,0.6666666666666666
Peifan Lei,Jamie Gardiner,7,0.7822166026963269,0.6393398367530659,120,55,706,334,0,0,0,0,80,38,309,143,0,0,0,0,0.0,0.5714285714285714
Antoni Kowalski,Hammad Miah,7,0.40261453047341306,0.45512110762641994,47,24,255,131,294,118,1876,848,98,51,131,71,101,41,427,194,0.0,0.5714285714285714
Jiang Jun,Huang Jiahao,7,0.7415764082537253,0.6165665045213193,36,14,250,119,33,11,182,76,157,77,250,119,43,12,79,36,0.0,0.5714285714285714
Duane Jones,Artemijs Zizins,7,0.6887157040547041,0.5890404340586651,331,149,1975,961,18,11,97,53,121,60,413,197,97,53,97,53,0.0,0.6666666666666666
Michael Holt,Reanne Evans,7,0.8832805083358919,0.707340014518073,1016,572,7048,3716,218,61,1227,463,73,32,336,170,71,16,276,76,0.0,1.0
Louis Heathcote,Anton Kazakov,7,0.8591236298223967,0.6889039179769546,205,94,1194,583,51,10,295,98,165,84,513,249,99,39,273,89,0.0,0.5714285714285714
Ma Hailong,Allan Taylor,7,0.3907515745539448,0.4495472886604723,41,13,267,115,453,208,2670,1281,132,60,267,115,158,84,448,204,0.0,1.0
Kreishh Gurbaxani,Andrew Higginson,7,0.18132139254278376,0.33849684079704756,26,9,144,65,884,505,6133,3316,80,36,121,55,119,56,463,245,0.0,0.8
Liam Graham,Siripaporn Nuanthakhamjan,7,0.6729150209582897,0.5811509642893937,54,16,297,115,22,0,127,23,83,29,218,75,59,8,127,23,0.0,0.5714285714285714
Liam Davies,Dean Young,7,0.5639634145132848,0.5293412500457856,50,24,294,138,110,41,571,237,97,47,268,128,85,31,356,142,0.0,0.6666666666666666
Joel Connolly Jnr,Ian Burns,7,0.15462146043253397,0.320821300824607,8,1,40,11,503,245,3164,1568,15,7,40,11,119,54,459,212,0.0,0.5714285714285714
Thor Chuan Leong,Mark Joyce,7,0.44549420086403224,0.47502081252106,190,70,1183,525,643,329,4444,2233,129,62,270,139,137,72,461,229,0.0,0.5714285714285714
Gong Chenzhi,Ahmed Aly Elsayed,7,0.8705826043505938,0.6974111143958823,30,16,206,106,23,0,111,14,119,59,206,106,64,9,111,14,0.0,1.0
Alfie Burden,Mitchell Mann,7,0.5947357972115818,0.5436386872370789,814,422,5774,2930,384,174,2314,1091,127,63,452,213,79,40,284,127,0.0,0.5714285714285714
Simon Blackwell,Stuart Carrington,7,0.31128429594529594,0.41095956594133487,67,34,338,178,519,275,3276,1704,105,58,132,70,131,67,464,228,0.0,0.5714285714285714
Farakh Ajaib,Julien Leclercq,7,0.46858930565080326,0.4856289593029398,156,67,848,389,76,33,420,194,90,51,296,144,127,55,345,156,0.0,0.5714285714285714
Fan Zhengyi,Liam Pullen,7,0.8340553716337187,0.6715050342254059,194,86,1238,576,53,24,319,148,224,123,737,390,104,46,277,126,0.0,0.6666666666666666
Long Zehuang,Sanderson Lam,7,0.660530062626431,0.5750535485557879,78,39,443,225,279,111,1689,744,178,99,284,147,116,48,527,248,0.0,1.0
Wang Yuchen,Joe Perry,7,0.31610864255174254,0.41338242108267,100,37,626,268,1392,807,9546,5149,74,38,158,89,142,67,722,360,0.0,0.6666666666666666
Jimmy White,Jackson Page,7,0.2465527590120173,0.37695333963338384,1577,844,13093,6755,209,106,1328,658,85,31,384,153,188,95,622,319,0.0,0.5714285714285714
Alexander Ursenbacher,Xu Si,7,0.4672268289773793,0.4850044983805899,286,129,1728,829,208,90,1323,610,113,56,400,196,174,87,534,263,0.0,0.5714285714285714
Thepchaiya Un-Nooh,Daniel Womersley,7,0.8870891247364365,0.7104354810428751,573,335,3952,2112,109,53,551,266,181,100,699,384,86,40,180,89,0.0,1.0
Matthew Stevens,Gong Chenzhi,7,0.732748880507422,0.6118273690017371,1136,654,8570,4642,30,16,206,106,146,73,613,324,119,59,206,106,0.0,0.8
Elliot Slessor,Chris Totten,7,0.8151364341594428,0.6592603884513855,389,193,2378,1176,103,37,590,241,273,151,702,367,116,63,204,110,0.0,0.6666666666666666
Ishpreet Singh Chadha,Ashley Carty,7,0.43199486323846364,0.46879062662624377,50,28,298,156,286,134,1675,825,155,75,298,156,141,73,388,194,0.0,0.8
Yuan Sijun,Liam Graham,7,0.9215618734478543,0.7417338799314313,279,147,1777,920,54,16,297,115,192,104,679,384,83,29,218,75,0.0,1.0
Matthew Selt,Michael Holt,7,0.6970755073607001,0.5932699921071872,887,483,5720,2979,1016,572,7048,3716,216,111,967,494,73,32,336,170,0.0,0.8
Jimmy Robertson,Amir Sarkhosh,7,0.829876495909729,0.668741821102192,754,413,4908,2562,37,16,238,118,192,96,761,403,67,29,113,53,0.0,1.0
Bulcsú Révész,Robbie Williams,7,0.22883313985656367,0.36702522331953935,24,11,163,77,564,302,3615,1855,112,54,163,77,172,85,592,316,0.0,1.0
Tian Pengfei,Antoni Kowalski,7,0.7041548710511403,0.596884378259767,569,312,3729,1961,47,24,255,131,142,70,509,251,98,51,131,71,0.0,1.0
Martin O'Donnell,Joel Connolly Jnr,7,0.8901903833125965,0.7130001627522816,518,263,3214,1626,8,1,40,11,191,98,497,248,15,7,40,11,0.0,1.0
Stan Moody,Ben Woollaston,7,0.25190978869692043,0.3798935676569099,61,24,360,166,842,476,5310,2821,135,67,324,151,181,100,602,315,0.0,0.5714285714285714
Anthony McGill,Farakh Ajaib,7,0.7534472409879828,0.6230466603666162,760,452,5048,2739,156,67,848,389,105,48,657,353,90,51,296,144,0.0,0.6666666666666666
Oliver Lines,Ricky Walden,7,0.40261453047341306,0.45512110762641994,384,185,2307,1127,1175,694,7899,4320,143,63,515,247,280,145,958,507,0.0,0.6666666666666666
Peifan Lei,Jamie Jones,7,0.3881295430910018,0.44831033065729986,120,55,706,334,681,400,4457,2395,80,38,309,143,152,73,700,357,0.0,0.5714285714285714
Jiang Jun,David Lilley,7,0.4132404983976814,0.46008511544443426,36,14,250,119,267,134,1584,795,157,77,250,119,181,90,540,263,0.0,0.5714285714285714
Liu Hongyu,Simon Blackwell,7,0.7203516579445735,0.6052765337748445,50,25,307,165,67,34,338,178,132,67,307,165,105,58,132,70,0.0,0.8
Louis Heathcote,Aaron Hill,7,0.4590611389260606,0.4812587841214648,205,94,1194,583,130,60,761,366,165,84,513,249,140,68,555,284,0.0,0.5714285714285714
Ma Hailong,Anthony Hamilton,7,0.35204218100893303,0.43106679063045344,41,13,267,115,1055,597,7726,4064,132,60,267,115,136,66,509,246,0.0,0.5714285714285714
He Guoqiang,Manasawin Phetmalaikul,7,0.8832805083358919,0.707340014518073,72,40,459,235,59,17,330,128,186,96,376,203,74,20,185,68,0.0,1.0
David Grace,Yulu Bai,7,0.8097380368967944,0.6558828412078137,487,225,3178,1536,14,3,98,34,113,52,489,230,45,13,98,34,0.0,1.0
Graeme Dott,Kreishh Gurbaxani,7,0.86350380276547,0.6921095043017882,1189,694,8515,4578,26,9,144,65,160,84,683,359,80,36,121,55,0.0,0.6666666666666666
Scott Donaldson,Duane Jones,7,0.6642657784879786,0.5768852611320463,499,265,3199,1632,331,149,1975,961,160,85,657,341,121,60,413,197,0.0,1.0
Mark Davis,Alfie Burden,7,0.6935058085008956,0.5914589784327801,1322,785,9084,4938,814,422,5774,2930,162,89,544,274,127,63,452,213,0.0,0.6666666666666666
Dominic Dale,Haris Tahir,7,0.7851724867885262,0.6410674063348171,1120,623,7744,4072,19,11,117,59,175,87,536,266,92,47,117,59,0.0,0.6666666666666666
Jamie Clarke,Xing Zihao,7,0.6466907800352545,0.5683199834782481,341,170,2039,1011,35,14,216,98,139,64,557,269,116,54,216,98,0.0,0.6666666666666666
Thor Chuan Leong,Daniel Wells,7,0.30888492066734696,0.40974974806981657,190,70,1183,525,531,267,3491,1753,129,62,270,139,170,88,568,317,0.0,0.6666666666666666
Jordan Brown,Liam Davies,7,0.692311529960642,0.5908547524545943,344,176,2120,1056,50,24,294,138,166,76,784,394,97,47,268,128,0.0,0.8
Zhou Yuelong,Dominic Dale,7,0.622303251187688,0.5566309599222533,510,301,3215,1732,1120,623,7744,4072,164,78,907,479,175,87,536,266,0.0,0.5714285714285714
Wang Yuchen,Jack Lisowski,7,0.16183680935294972,0.3257435747770527,100,37,626,268,810,494,5279,2892,74,38,158,89,246,136,1051,581,0.0,0.5714285714285714
Kyren Wilson,David Grace,7,0.8806881852645642,0.7052656295907794,1063,678,6764,3819,487,225,3178,1536,565,324,1457,848,113,52,489,230,0.0,0.5714285714285714
Mark Williams,Jamie Clarke,7,0.8290321883880187,0.6681877721681662,1807,1185,13193,7573,341,170,2039,1011,298,166,1080,627,139,64,557,269,0.0,1.0
Jimmy White,Hossein Vafaei,7,0.14310407990585822,0.31270571980279593,1577,844,13093,6755,340,206,2361,1262,85,31,384,153,217,125,884,507,0.0,0.6666666666666666
Chris Wakelin,Bulcsú Révész,7,0.8858301874086159,0.7094058152553435,441,240,2804,1456,24,11,163,77,333,179,905,493,112,54,163,77,0.0,0.6666666666666666
Judd Trump,Ishpreet Singh Chadha,7,0.9157399188480915,0.7359453939271484,1472,1060,10196,6165,50,28,298,156,537,336,1758,1076,155,75,298,156,0.0,1.0
Elliot Slessor,Joe O'Connor,7,0.5409388610739393,0.5187412158785352,389,193,2378,1176,309,153,1941,974,273,151,702,367,269,138,749,389,0.0,0.6666666666666666
Matthew Selt,Lyu Haotian,7,0.5218633393972989,0.5099986668799655,887,483,5720,2979,347,177,2268,1133,216,111,967,494,181,88,735,396,0.0,0.8
Noppon Saengkham,Thepchaiya Un-Nooh,7,0.3699335043548132,0.4396703573114467,468,243,3192,1614,573,335,3952,2112,183,91,808,431,181,100,699,384,0.0,0.5714285714285714
Neil Robertson,Graeme Dott,7,0.792932804884019,0.6456563062257954,1289,857,9436,5440,1189,694,8515,4578,337,208,1051,609,160,84,683,359,0.0,0.5714285714285714
Jimmy Robertson,Xiao Guodong,7,0.3596701363363135,0.43474925243290014,754,413,4908,2562,766,444,4809,2637,192,96,761,403,258,142,990,529,0.0,0.6666666666666666
Tian Pengfei,Si Jiahui,7,0.2606153234773788,0.38461624360881785,569,312,3729,1961,202,116,1370,739,142,70,509,251,373,214,946,519,0.0,0.6666666666666666
Martin O'Donnell,Zhang Anda,7,0.32954639777958084,0.4200665998114943,518,263,3214,1626,490,255,3436,1758,191,98,497,248,259,131,886,492,0.0,0.5714285714285714
Shaun Murphy,Jiang Jun,7,0.8677841579315165,0.6952966693475653,1376,904,9934,5646,36,14,250,119,302,172,974,557,157,77,250,119,0.0,0.6666666666666666
Stan Moody,Ryan Day,7,0.29350342132334917,0.40191313966779657,61,24,360,166,1321,780,8716,4740,135,67,324,151,291,148,997,519,0.0,0.5714285714285714
Robert Milkins,Jordan Brown,7,0.5395790886298393,0.5181170650431814,1142,657,7918,4221,344,176,2120,1056,176,75,959,479,166,76,784,394,0.0,0.6666666666666666
Anthony McGill,Stephen Maguire,7,0.4065907825999159,0.4569816192756902,760,452,5048,2739,1212,783,8847,4968,105,48,657,353,221,120,716,383,0.0,0.8
Oliver Lines,Wu Yize,7,0.32831469717042555,0.41945769517934034,384,185,2307,1127,125,65,869,447,143,63,515,247,223,124,655,351,0.0,0.8
Peifan Lei,David Gilbert,7,0.17869460046062505,0.33681950490064355,120,55,706,334,964,568,6607,3581,80,38,309,143,311,179,877,486,0.0,0.6666666666666666
Pang Junxu,Yuan Sijun,7,0.549086208422272,0.5224848247918001,188,104,1216,635,279,147,1777,920,297,162,833,451,192,104,679,384,0.0,0.5714285714285714
Jak Jones,Alexander Ursenbacher,7,0.67536846283006,0.5823675407280794,410,204,2699,1300,286,129,1728,829,353,197,862,467,113,56,400,196,0.0,1.0
John Higgins,Fan Zhengyi,7,0.6802510445614828,0.584797674717737,1896,1336,14656,8636,194,86,1238,576,477,266,1441,824,224,123,737,390,0.0,0.6666666666666666
Louis Heathcote,Mark Selby,7,0.1804429523596507,0.3379372751936011,205,94,1194,583,1578,1078,11269,6559,165,84,513,249,401,227,1331,757,0.0,0.5714285714285714
Barry Hawkins,Matthew Stevens,7,0.6403298636636867,0.5652507475670999,1355,846,9310,5211,1136,654,8570,4642,289,153,972,551,146,73,613,324,0.0,0.6666666666666666
Ma Hailong,Ali Carter,7,0.14013938303066084,0.31056054693922636,41,13,267,115,1338,825,9027,4986,132,60,267,115,358,192,1215,676,0.0,0.8
Tom Ford,Thor Chuan Leong,7,0.6466907800352545,0.5683199834782481,948,538,6460,3438,190,70,1183,525,217,100,950,494,129,62,270,139,0.0,0.6666666666666666
Mark Davis,Gary Wilson,7,0.4266177377216683,0.4663011645670992,1322,785,9084,4938,743,428,4778,2567,162,89,544,274,354,186,986,516,0.0,0.8
Luca Brecel,He Guoqiang,7,0.67536846283006,0.5823675407280794,650,378,4359,2357,72,40,459,235,160,82,871,474,186,96,376,203,0.0,0.5714285714285714
Stuart Bingham,Scott Donaldson,7,0.549086208422272,0.5224848247918001,1515,956,10495,5941,499,265,3199,1632,313,163,1007,533,160,85,657,341,0.0,0.8
Mark Allen,Liu Hongyu,7,0.7792359029381558,0.637608652621925,1090,725,7720,4387,50,25,307,165,383,212,1212,690,132,67,307,165,0.0,1.0
Kyren Wilson,Anthony McGill,7,0.7711668601434363,0.6329747766804606,1063,678,6764,3819,760,452,5048,2739,565,324,1457,848,105,48,657,353,0.0,0.5714285714285714
Mark Williams,Noppon Saengkham,7,0.7316341543771714,0.6112334666758695,1807,1185,13193,7573,468,243,3192,1614,298,166,1080,627,183,91,808,431,0.0,0.8
Judd Trump,Matthew Selt,7,0.7995764997363425,0.6496497492904088,1472,1060,10196,6165,887,483,5720,2979,537,336,1758,1076,216,111,967,494,0.0,0.6666666666666666
Elliot Slessor,Long Zehuang,7,0.6026704349193375,0.5473576181430894,389,193,2378,1176,78,39,443,225,273,151,702,367,178,99,284,147,0.0,0.6666666666666666
Neil Robertson,Wang Yuchen,7,0.9157399188480915,0.7359453939271484,1289,857,9436,5440,100,37,626,268,337,208,1051,609,74,38,158,89,0.0,1.0
Tian Pengfei,Robert Milkins,7,0.5013671846516985,0.5006249996744794,569,312,3729,1961,1142,657,7918,4221,142,70,509,251,176,75,959,479,0.0,0.8
Martin O'Donnell,Jimmy White,7,0.7316341543771714,0.6112334666758695,518,263,3214,1626,1577,844,13093,6755,191,98,497,248,85,31,384,153,0.0,0.6666666666666666
Shaun Murphy,Zhou Yuelong,7,0.6970755073607001,0.5932699921071872,1376,904,9934,5646,510,301,3215,1732,302,172,974,557,164,78,907,479,0.0,0.6666666666666666
Stan Moody,Jak Jones,7,0.22781497267732487,0.3664446223632249,61,24,360,166,410,204,2699,1300,135,67,324,151,353,197,862,467,0.0,1.0
Oliver Lines,Mark Allen,7,0.21976777945335846,0.36181388669099446,384,185,2307,1127,1090,725,7720,4387,143,63,515,247,383,212,1212,690,0.0,0.5714285714285714
Peifan Lei,Tom Ford,7,0.3394699373735689,0.424946451444212,120,55,706,334,948,538,6460,3438,80,38,309,143,217,100,950,494,0.0,0.8
Pang Junxu,Luca Brecel,7,0.5300478260158454,0.513746534902355,188,104,1216,635,650,378,4359,2357,297,162,833,451,160,82,871,474,0.0,0.8
Louis Heathcote,Jimmy Robertson,7,0.37899585307075345,0.44398610945538003,205,94,1194,583,754,413,4908,2562,165,84,513,249,192,96,761,403,0.0,0.8
Barry Hawkins,John Higgins,7,0.3894398892710193,0.448928730692658,1355,846,9310,5211,1896,1336,14656,8636,289,153,972,551,477,266,1441,824,0.0,0.6666666666666666
Ma Hailong,Chris Wakelin,7,0.1322158420684832,0.3047033306524346,41,13,267,115,441,240,2804,1456,132,60,267,115,333,179,905,493,0.0,0.8
Stuart Bingham,Mark Davis,7,0.5531518743848329,0.5243557087682073,1515,956,10495,5941,1322,785,9084,4938,313,163,1007,533,162,89,544,274,0.0,1.0
Kyren Wilson,Stan Moody,7,0.8877146338860857,0.7109495026250039,1063,678,6764,3819,61,24,360,166,565,324,1457,848,135,67,324,151,0.0,0.8
Mark Williams,Ma Hailong,7,0.9116708670628891,0.7320405018416317,1807,1185,13193,7573,41,13,267,115,298,166,1080,627,132,60,267,115,0.0,0.6666666666666666
Judd Trump,Barry Hawkins,7,0.7404818133197837,0.6159753019181258,1472,1060,10196,6165,1355,846,9310,5211,537,336,1758,1076,289,153,972,551,0.0,0.8
Elliot Slessor,Peifan Lei,7,0.7248939369984414,0.6076631698328917,389,193,2378,1176,120,55,706,334,273,151,702,367,80,38,309,143,0.0,0.8
Neil Robertson,Oliver Lines,7,0.8133483117002799,0.6581363150480182,1289,857,9436,5440,384,185,2307,1127,337,208,1051,609,143,63,515,247,0.0,0.8
Shaun Murphy,Stuart Bingham,7,0.6555229391190917,0.5726080638632601,1376,904,9934,5646,1515,956,10495,5941,302,172,974,557,313,163,1007,533,0.0,0.5714285714285714
Pang Junxu,Martin O'Donnell,7,0.6790334655716898,0.5841905229354074,188,104,1216,635,518,263,3214,1626,297,162,833,451,191,98,497,248,0.0,1.0
Louis Heathcote,Tian Pengfei,7,0.4781366606027012,0.4900013331200346,205,94,1194,583,569,312,3729,1961,165,84,513,249,142,70,509,251,0.0,0.6666666666666666
Kyren Wilson,Mark Williams,9,0.5368587710437642,0.51499550161941,1063,678,6764,3819,1807,1185,13193,7573,565,324,1457,848,298,166,1080,627,0.0,0.8333333333333334
Judd Trump,Shaun Murphy,9,0.6513228977147019,0.5627917401386452,1472,1060,10196,6165,1376,904,9934,5646,537,336,1758,1076,302,172,974,557,0.0,0.8333333333333334
Elliot Slessor,Louis Heathcote,9,0.6778907155437834,0.574442516811659,389,193,2378,1176,205,94,1194,583,273,151,702,367,165,84,513,249,0.0,0.8333333333333334
Pang Junxu,Neil Robertson,9,0.33040479097165565,0.4292283881055083,188,104,1216,635,1289,857,9436,5440,297,162,833,451,337,208,1051,609,0.0,0.5555555555555556
Kyren Wilson,Pang Junxu,11,0.691303602887055,0.5732197726798348,1063,678,6764,3819,188,104,1216,635,565,324,1457,848,297,162,833,451,0.0,0.6
Judd Trump,Elliot Slessor,11,0.8458526117374912,0.6467993925579857,1472,1060,10196,6165,389,193,2378,1176,537,336,1758,1076,273,151,702,367,0.0,1.0
Kyren Wilson,Judd Trump,17,0.3572260203561264,0.4563613127629212,1063,678,6764,3819,1472,1060,10196,6165,565,324,1457,848,537,336,1758,1076,0.0,0.75
Fan Zhengyi,Long Zehuang,11,0.6069119338528444,0.5399148845555657,196,87,1250,582,81,41,460,235,236,129,749,396,195,109,301,157,0.0,0.6666666666666666
Dean Young,Tian Pengfei,11,0.1371156226654094,0.34298953732650117,111,41,577,239,573,315,3750,1975,91,33,362,144,163,84,530,265,0.0,0.5454545454545454
Wu Yize,Wang Yuchen,11,0.8388505228821673,0.6427913242407762,126,65,874,448,104,40,648,280,228,125,660,352,96,50,180,101,0.0,0.6
Ben Woollaston,Duane Jones,11,0.7287693737217769,0.5890404340586651,843,476,5317,2824,333,150,1985,965,188,103,609,318,131,64,423,201,0.0,0.6
Daniel Womersley,Liam Davies,11,0.48984977471926505,0.496250070310918,111,54,560,270,52,25,305,143,95,44,189,93,108,52,279,133,0.0,0.75
Kyren Wilson,Mitchell Mann,11,0.969004445132317,0.7553772379137498,1069,684,6811,3851,385,174,2321,1094,612,356,1504,880,86,43,291,130,0.0,1.0
Gary Wilson,Hammad Miah,11,0.8252810393862255,0.6352948493228071,744,428,4783,2568,295,118,1883,851,359,187,991,517,108,44,434,197,0.0,0.6666666666666666
Robbie Williams,Allan Taylor,11,0.6762884110738897,0.5670929049654543,565,302,3619,1855,454,208,2674,1281,176,85,596,316,162,84,452,204,0.0,0.6666666666666666
Mark Williams,Haris Tahir,11,0.9741153348482265,0.7644979994081456,1811,1188,13214,7586,21,12,130,65,319,179,1101,640,105,53,130,65,0.0,1.0
Ricky Walden,Xing Zihao,11,0.8176697769208081,0.6312306626164005,1176,694,7905,4322,36,14,222,100,286,147,964,509,122,56,222,100,0.0,0.6
Chris Wakelin,Cheung Ka Wai,11,0.8874279875518349,0.6731572963701318,443,241,2815,1461,34,20,199,115,344,184,916,498,93,45,199,115,0.0,0.75
Hossein Vafaei,Zheng Dian,11,0.9655382959331047,0.7497913878870148,341,206,2367,1264,0,0,0,0,223,127,890,509,0,0,0,0,0.0,0.6
Thepchaiya Un-Nooh,Peifan Lei,11,0.8176697769208081,0.6312306626164005,575,336,3963,2119,125,59,736,351,192,107,710,391,110,55,339,160,0.0,0.6
Judd Trump,Chris Totten,11,0.9838083072715782,0.7862554282848526,1478,1065,10235,6191,105,38,603,247,576,362,1797,1102,129,69,217,116,0.0,0.8571428571428571
Zak Surety,Dominic Dale,11,0.4746394143186712,0.4906260984783392,261,119,1503,719,1122,624,7757,4079,168,86,516,255,188,94,549,273,0.0,0.6
Matthew Stevens,Huang Jiahao,11,0.91443428808978,0.6937054019553982,1138,655,8581,4648,34,11,189,79,157,79,624,330,50,15,86,39,0.0,1.0
Elliot Slessor,Manasawin Phetmalaikul,11,0.9733987778178507,0.7631450157268554,395,198,2413,1197,61,18,341,132,308,172,737,388,85,24,196,72,0.0,0.6666666666666666
Yuan Sijun,Ian Burns,11,0.7801859416806328,0.6124209393479161,281,148,1788,927,504,245,3171,1571,203,111,690,391,126,57,466,215,0.0,0.8571428571428571
Xu Si,Ahmed Aly Elsayed,11,0.9792669238742752,0.7751285533173565,209,90,1330,613,24,0,115,14,181,90,541,266,68,9,115,14,0.0,0.5454545454545454
Mark Selby,Artemijs Zizins,11,0.9593745526501821,0.740774899182154,1579,1078,11276,6562,19,11,103,55,408,230,1338,760,103,55,103,55,0.0,0.6666666666666666
Amir Sarkhosh,David Lilley,11,0.22355089230407071,0.389360766050778,39,17,248,122,268,134,1591,798,77,33,123,57,188,93,547,266,0.0,0.6666666666666666
Noppon Saengkham,Wang Xinbo,11,0.8950860052159663,0.6786337178522214,470,244,3204,1619,9,3,73,32,195,96,820,436,48,22,73,32,0.0,0.6666666666666666
Neil Robertson,Alfie Burden,11,0.9200249447315538,0.6984652160025387,1293,860,9461,5456,816,423,5787,2936,362,224,1076,625,140,69,465,219,0.0,0.8571428571428571
Jimmy Robertson,Akani Songsermsawad,11,0.5253605856813285,0.5093739015216607,757,415,4923,2571,237,128,1551,804,207,105,776,412,96,61,255,142,0.0,0.5454545454545454
Haydon Pinhey,Stephen Maguire,11,0.14357319380185787,0.3469438867133873,116,52,617,291,1213,783,8852,4969,128,60,354,171,226,121,721,384,0.0,0.75
Joe Perry,Jonas Luz,11,0.8842509232912373,0.6709533329057776,1393,807,9552,5151,2,1,10,5,148,69,728,362,10,5,10,5,0.0,0.8571428571428571
Jackson Page,Oliver Lines,11,0.4847768026393152,0.4943752372926745,210,106,1335,661,389,189,2336,1144,195,98,629,322,172,80,544,264,0.0,0.75
Ronnie O'Sullivan,Mink Nutcharut,11,0.9954517645455037,0.8337581892923576,1539,1174,13293,8110,49,5,278,82,378,227,1204,725,84,24,277,82,0.0,0.6666666666666666
Martin O'Donnell,Julien Leclercq,11,0.7425250047020281,0.595078473866134,522,266,3235,1638,77,33,427,197,212,110,518,260,134,58,352,159,0.0,0.75
Joe O'Connor,Robbie Mcguigan,11,0.886639866993501,0.6726070170677604,310,153,1947,976,73,26,348,151,275,140,755,391,71,31,212,94,0.0,0.8571428571428571
Shaun Murphy,Louis Heathcote,11,0.8337185633337647,0.6399160967377341,1380,907,9959,5659,211,99,1232,604,327,185,999,570,203,105,551,270,0.0,0.6
Ross Muir,Daniel Wells,11,0.23886972065862805,0.3965167501352737,295,117,1868,857,532,267,3497,1755,128,55,463,215,176,90,574,319,0.0,0.75
Stan Moody,Tom Ford,11,0.3657125117208648,0.4495472886604723,66,28,389,183,950,539,6471,3443,164,84,353,168,228,105,961,499,0.0,0.75
Ben Mertens,Graeme Dott,11,0.3530627239692718,0.44460335167941084,108,50,647,323,1191,695,8528,4585,141,68,476,241,173,91,696,366,0.0,0.6
Anthony McGill,Ashley Carty,11,0.6701956406431402,0.5646362918030292,763,454,5066,2750,287,134,1680,826,123,59,675,364,146,74,393,195,0.0,0.8571428571428571
Jack Lisowski,Bulcsú Révész,11,0.8882120246673187,0.6737070994545215,811,494,5286,2895,27,13,180,87,253,139,1058,584,129,64,180,87,0.0,0.5454545454545454
Sanderson Lam,Alexander Ursenbacher,11,0.3282766632375935,0.43474925243290014,280,111,1693,744,289,131,1744,837,120,48,531,248,129,64,416,204,0.0,0.5454545454545454
Pang Junxu,Iulian Boiko,11,0.90719284982979,0.6878313305828404,193,108,1251,656,111,42,623,272,332,183,868,472,146,70,389,195,0.0,0.8571428571428571
Ding Junhui,Reanne Evans,11,0.9930418761468445,0.819431411226116,1004,666,7723,4392,219,61,1231,463,243,126,974,540,75,16,280,76,0.0,1.0
