player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Patrick Whelan,Anthony Hamilton,7,0.2529889879024986,0.3804826803529153,63,29,335,164,1065,599,7808,4099,0,0,50,26,54,22,418,191,0.0,0.6666666666666666
Alexander Ursenbacher,David Grace,7,0.5840920587766287,0.538672605206508,304,139,1866,903,501,230,3275,1582,73,41,431,222,50,23,413,188,0.0,0.5714285714285714
Craig Steadman,Peter Lines,7,0.465864760862579,0.4843800842769844,585,308,3755,1935,922,477,6488,3318,0,0,180,89,0,0,176,90,0.0,0.8
Zack Richardson,Connor Benzey,7,0.6403298636636867,0.5652507475670999,84,43,463,254,35,17,178,86,0,0,81,45,0,0,70,41,0.0,0.5714285714285714
Liam Pullen,Matt Williams,7,0.6580301976734948,0.5738312575916094,68,30,411,188,53,23,290,131,44,17,341,154,0,0,32,15,0.0,1.0
George Pragnell (II),Billy Joe Castle,7,0.4132404983976814,0.4600851154444342,25,14,155,81,159,69,883,404,0,0,64,32,0,0,59,30,0.0,0.8
Mark Lloyd,Alex Millington,7,0.4863309727288301,0.4937503255004896,43,15,220,95,33,14,187,92,0,0,43,16,0,0,37,18,0.0,0.8
Halim Hussain,Brandon Hall,7,0.5041014855971089,0.5018749912109869,18,8,97,44,36,15,180,79,0,0,55,30,0,0,52,32,0.0,0.6666666666666666
Ashley Hugill,Ashley Carty,7,0.6053054839891849,0.5485961085831343,250,108,1516,721,300,139,1762,858,0,0,279,131,45,16,377,180,0.0,0.6666666666666666
Umut Dikme,Andres Petrov,7,0.5068355814796678,0.5031249593105316,47,23,254,125,71,24,441,183,0,0,89,41,0,0,216,81,0.0,0.5714285714285714
Ryan Davies,Jack Bradford,7,0.6679843009449487,0.578714862460134,64,32,319,162,73,25,400,169,0,0,120,64,0,0,53,23,0.0,0.5714285714285714
Alfie Davies,Joshua Thomond,7,0.6287764284690306,0.5597136492671929,37,21,194,106,88,35,487,224,0,0,151,83,46,18,201,89,0.0,1.0
Stuart Carrington,Peter Devlin,7,0.6741427448520734,0.5817593768418363,534,281,3385,1757,117,50,591,270,59,30,428,217,0,0,42,18,0.0,1.0
Oliver Brown,Alex Clenshaw,7,0.6592810606298003,0.574442516811659,279,123,1529,723,34,14,156,77,0,0,229,98,0,0,59,35,0.0,0.8
Mateusz Baranowski,Phil O'Kane,7,0.4835986704357121,0.4925005624493796,62,29,353,172,124,57,647,314,24,12,41,21,0,0,56,29,0.0,0.5714285714285714
Patrick Whelan,George Pragnell (II),7,0.4549849461247727,0.4793866902855513,63,29,335,164,25,14,155,81,0,0,50,26,0,0,64,32,0.0,1.0
Alexander Ursenbacher,Ashley Hugill,7,0.5232282019769063,0.5106234010049637,304,139,1866,903,250,108,1516,721,73,41,431,222,0,0,279,131,0.0,0.8
Craig Steadman,Stuart Carrington,7,0.4346885316890212,0.4700359482354282,585,308,3755,1935,534,281,3385,1757,0,0,180,89,59,30,428,217,0.0,0.5714285714285714
Liam Pullen,Alfie Davies,7,0.4482027100420394,0.4762678458734389,68,30,411,188,37,21,194,106,44,17,341,154,0,0,151,83,0.0,0.6666666666666666
Umut Dikme,Zack Richardson,7,0.3622262568213277,0.4359783625737424,47,23,254,125,84,43,463,254,0,0,89,41,0,0,81,45,0.0,0.5714285714285714
Ryan Davies,Daniel Womersley,7,0.5395790886298393,0.5181170650431814,64,32,319,162,119,55,618,290,0,0,120,64,26,7,199,88,0.0,0.5714285714285714
Oliver Brown,Halim Hussain,7,0.7338611162888773,0.6124209393479161,279,123,1529,723,18,8,97,44,0,0,229,98,0,0,55,30,0.0,0.6666666666666666
Mateusz Baranowski,Mark Lloyd,7,0.5840920587766287,0.538672605206508,62,29,353,172,43,15,220,95,24,12,41,21,0,0,43,16,0.0,0.6666666666666666
Alexander Ursenbacher,Ryan Davies,7,0.7502408354966205,0.6212835951910678,304,139,1866,903,64,32,319,162,73,41,431,222,0,0,120,64,0.0,0.8
Liam Pullen,Umut Dikme,7,0.5422981239384312,0.519365308229932,68,30,411,188,47,23,254,125,44,17,341,154,0,0,89,41,0.0,0.6666666666666666
Oliver Brown,Craig Steadman,7,0.4617811766046101,0.4825071423336102,279,123,1529,723,585,308,3755,1935,0,0,229,98,0,0,180,89,0.0,0.8
Mateusz Baranowski,Patrick Whelan,7,0.5531518743848329,0.5243557087682073,62,29,353,172,63,29,335,164,24,12,41,21,0,0,50,26,0.0,0.6666666666666666
Alexander Widau,Andy Neck,7,0.5720392978025534,0.5330766223661046,1,0,7,3,140,65,1039,494,7,3,7,3,5,1,14,2,0.0,0.8
Elliott Weston,Evan Munro,7,0.4454942008640322,0.47502081252106,12,2,55,16,127,55,872,411,9,4,9,4,5,1,5,1,0.0,0.5714285714285714
Edward Warr,Chi Chun Chan,7,0.5068355814796678,0.5031249593105316,4,1,19,7,1,0,4,0,5,1,19,7,4,0,4,0,0.0,0.5714285714285714
Gary Thomson,Gary Widdecombe,7,0.6679843009449487,0.578714862460134,184,93,1288,654,3,0,16,4,11,6,50,25,5,1,16,4,0.0,1.0
