player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Ben Woollaston,Mark Williams,7,1392,1568,0.2739765592815067,0.3917409692534856,838,473,5288,2807,1806,1185,13188,7572,159,86,580,301,293,165,1075,626,4,1,0.0,0.8
Kyren Wilson,David Grace,7,1577,1212,0.8908027727664171,0.713511467542637,1060,676,6748,3809,485,224,3169,1531,549,314,1441,838,104,47,480,225,4,1,0.0,0.8
Chris Wakelin,Joe Perry,7,1466,1297,0.7180660778287002,0.6040813228693781,436,236,2772,1438,1390,806,9535,5143,301,161,873,475,131,61,711,354,4,2,0.0,0.6666666666666666
Hossein Vafaei,Matthew Stevens,7,1471,1346,0.6655072126279344,0.5774953651858118,338,205,2348,1256,1134,653,8558,4635,204,119,871,501,134,66,601,317,4,3,0.0,0.5714285714285714
Judd Trump,Liu Hongyu,7,1666,1291,0.8967839705837035,0.7185943925708561,1468,1057,10170,6150,48,24,295,158,511,321,1732,1061,120,60,295,158,4,3,0.0,0.5714285714285714
Zak Surety,Noppon Saengkham,7,1273,1389,0.34573343118721134,0.42800386706848137,256,116,1476,703,467,243,3188,1614,141,70,489,239,179,91,804,431,4,0,0.0,1.0
Ishpreet Singh Chadha,Jak Jones,7,1179,1447,0.18132139254278376,0.33849684079704756,43,22,252,131,409,204,2692,1297,109,50,252,131,346,194,855,464,4,3,0.0,0.5714285714285714
Xu Si,Jack Lisowski,7,1333,1461,0.33078006904137963,0.42067574785125056,205,88,1305,602,809,494,5272,2889,156,79,516,255,239,133,1044,578,4,3,0.0,0.5714285714285714
Matthew Selt,Ricky Walden,7,1402,1377,0.534135239137421,0.5156199157230156,885,482,5708,2974,1173,693,7888,4313,204,106,955,489,269,138,947,500,4,3,0.0,0.5714285714285714
Mark Selby,Aaron Hill,7,1556,1309,0.7995764997363425,0.6496497492904088,1574,1075,11243,6543,128,59,749,360,375,211,1305,741,128,62,543,278,4,2,0.0,0.6666666666666666
Neil Robertson,Jackson Page,7,1518,1340,0.728275111254584,0.6094497836283252,1283,851,9392,5408,207,105,1319,653,293,176,1007,577,179,90,613,314,4,1,0.0,0.8
Joe O'Connor,Artemijs Zizins,7,1376,1107,0.8195570476403491,0.6620627248063988,307,152,1933,970,15,9,81,45,261,134,741,385,81,45,81,45,4,0,0.0,1.0
Shaun Murphy,Jamie Clarke,7,1553,1275,0.8273350387178837,0.6670782770956253,1374,903,9924,5641,339,169,2027,1006,292,167,964,552,127,59,545,264,4,1,0.0,0.8
Ross Muir,Gary Wilson,7,1184,1456,0.17782468979276692,0.3362613025956473,290,114,1838,841,742,428,4771,2564,98,39,433,199,347,183,979,513,4,3,0.0,0.5714285714285714
Anthony McGill,Xiao Guodong,7,1353,1486,0.3246315371699399,0.41763245927192055,758,451,5037,2734,764,443,4798,2631,94,43,646,348,247,136,979,523,4,2,0.0,0.6666666666666666
Stephen Maguire,Bulcsú Révész,7,1433,1103,0.8677841579315165,0.6952966693475653,1210,782,8838,4963,21,9,149,69,212,115,707,378,98,46,149,69,4,0,0.0,1.0
Oliver Lines,Robert Milkins,7,1295,1303,0.48906395814377107,0.4950001666600003,380,182,2282,1113,1141,657,7911,4218,118,49,490,233,169,72,952,476,4,3,0.0,0.5714285714285714
