,Player1,Player2,Score1,Score2,Best Of,Round Name,Match Date,Tournament Name,Tournament id,Year
984,Ben Hancorn,Haider Ali,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
985,Steven Hallworth,Jed Mann,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
986,Ben Fortey,Chris Mason,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
987,Dylan Emery,Thomas McSorley,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
988,Adam Duffy,Mark Lloyd,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
989,Peter Devlin,Jake Nicholson,3,2,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
990,Paul Davison,Ryan Thomerson,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
991,Ryan Davies,Liam Graham,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
992,Jack Dady,Daniel Bagley,3,2,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
993,Stephen Craigie,Alex Clenshaw,3,2,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
994,Harvey Chandler,Julien Leclercq,3,2,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
995,Alfie Burden,Niel Vincent,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
996,Jamie Brown,Declan Lavery,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
997,Oliver Brown,Andy Marriott,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
998,Simon Blackwell,Ross Bulman,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
999,Callum Beresford,Stan Moody,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
1000,Jamie Barrett,Joshua Thomond,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
1001,Sam Baird,Leo Fernandez,3,2,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
1002,John Astley,Steven Evans,3,0,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
1003,Farakh Ajaib,Michael Collumb,3,1,5,Last 128,2020-08-06,2020 Q School - Event 3,3754,2020
1004,Dean Young,Lee Richardson,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1005,Fang Xiongman,Harvey Chandler,4,3,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1006,Daniel Womersley,Jamie McArdle,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1007,Jamie Wilson,Luke Simmonds,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1008,Sydney Wilson,Manasawin Phetmalaikul,4,3,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1009,Michael White,Callum Beresford,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1010,Chris Totten,Adam Duffy,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1011,Haydon Pinhey,Sanderson Lam,4,3,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1012,Phil O'Kane,Keith Keldie,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1013,Florian Nüßle,Sam Baird,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1014,Alex Millington,Jack Dady,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1015,Rory McLeod,James Silverwood,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1016,Robbie Mcguigan,Jamie Brown,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1017,Sean McAllister,Jack Culligan,4,3,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1018,Kuldesh Johal,Ian Martin,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1019,Robert James,Sean Harvey,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1020,Hamim Hussain,James Height,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1021,Steven Hallworth,Ben Mertens,4,3,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1022,Ben Fortey,Stephen Craigie,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1023,David Finbow,Patrick Wallace,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1024,Paul Davison,Wu Yize,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1025,Ryan Davies,Hayden Staniland,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1026,Alfie Burden,Sean O'Sullivan,4,1,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1027,Oliver Brown,Sergey Isaenko,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1028,Jamie Barrett,Adrian Rosa,4,0,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1029,Farakh Ajaib,Simon Blackwell,4,2,7,Last 64,2020-08-09,2020 Q School - Event 3,3754,2020
1030,Dean Young,Kuldesh Johal,4,3,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1031,Fang Xiongman,Sean McAllister,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1032,Daniel Womersley,Luke Pinches,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1033,Jamie Wilson,David Finbow,4,3,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1034,Michael White,Hamim Hussain,4,3,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1035,Brian Ochoiski,Jamie Barrett,4,2,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1036,Phil O'Kane,Alex Millington,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1037,Rory McLeod,Robbie Mcguigan,4,2,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1038,Steven Hallworth,Sydney Wilson,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1039,Ben Fortey,Chris Totten,4,2,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1040,Dylan Emery,John Astley,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1041,Paul Davison,Robert James,4,3,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1042,Alfie Burden,Florian Nüßle,4,1,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1043,Oliver Brown,Ryan Davies,4,2,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1044,Farakh Ajaib,Jenson Kendrick,4,3,7,Last 32,2020-08-09,2020 Q School - Event 3,3754,2020
1045,Jamie Wilson,Fang Xiongman,4,3,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1046,Haydon Pinhey,Ben Fortey,4,3,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1047,Brian Ochoiski,Dean Young,4,3,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1048,Rory McLeod,Phil O'Kane,4,1,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1049,Steven Hallworth,Daniel Womersley,4,2,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1050,Paul Davison,Michael White,4,1,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1051,Alfie Burden,Oliver Brown,4,3,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1052,Farakh Ajaib,Dylan Emery,4,3,7,Last 16,2020-08-09,2020 Q School - Event 3,3754,2020
1053,Jamie Wilson,Haydon Pinhey,4,3,7,Quarter-final,2020-08-09,2020 Q School - Event 3,3754,2020
1054,Rory McLeod,Paul Davison,4,2,7,Quarter-final,2020-08-09,2020 Q School - Event 3,3754,2020
1055,Steven Hallworth,Alfie Burden,4,2,7,Quarter-final,2020-08-09,2020 Q School - Event 3,3754,2020
1056,Farakh Ajaib,Brian Ochoiski,4,2,7,Quarter-final,2020-08-09,2020 Q School - Event 3,3754,2020
1057,Wu Yize,Matthew Couch,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1058,Patrick Wallace,Paul Burrell,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1059,Niel Vincent,Robert James,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1060,Craig Steadman,Kharazchi Jamshid,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1061,Fergal Quinn (II),Sean McAllister,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1062,Brian Ochoiski,Tugba Irten,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1063,Sean O'Sullivan,Mark Taylor,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1064,Jake Nicholson,Connor Benzey,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1065,Saqib Nasir,Tam Mustafa,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1066,Chris Mason,Jack Smithers,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1067,Ian Martin,Declan Lavery,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1068,Andy Marriott,Sydney Wilson,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1069,Bash Maqsood,Dan Barsley,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1070,Jed Mann,Stephen Swaine,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1071,Simon Lichtenberg,Simon Blackwell,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1072,James Leadbetter,James Silverwood,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1073,Sanderson Lam,Jamie Brown,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1074,Antoni Kowalski,Keith Keldie,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1075,Stephen Kershaw,Jenson Kendrick,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1076,Ben Jones,Andrew Milliard,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1077,Sergey Isaenko,Rory McLeod,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1078,Brandon Hall,Liam Graham,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1079,Matthew Glasby,Garry Coulson,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1080,Dylan Emery,Christopher Keogan,3,2,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1081,Peter Devlin,Haider Ali,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1082,Jack Culligan,James Burrett,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1083,Michael Collumb,Adam Duffy,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1084,Alex Clenshaw,David Finbow,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1085,Thor Chuan Leong,Ronan Whyte,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1086,Harvey Chandler,Chae Ross,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1087,Alfie Burden,Mark Lloyd,3,1,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1088,Ross Bulman,Adam Longley,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1089,Oliver Brown,Joshua Cooper,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1090,Jamie Barrett,Bradley Cowdroy,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1091,John Astley,Luke Simmonds,3,0,5,Round 1,2020-08-04,2020 Q School - Event 2,3753,2020
1092,Fan Zhengyi,Matthew Glasby,3,1,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1093,Wu Yize,David Nelson,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1094,Daniel Womersley,Ben Fortey,3,1,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1095,Jamie Wilson,Lee Shanker,3,2,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1096,Michael White,Lee Richardson,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1097,Lee Walker,James Height,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1098,Mark Vincent,Stephen Kershaw,3,2,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1099,Niel Vincent,Lucky Vatnani,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1100,Ryan Thomerson,Sanderson Lam,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1101,Zak Surety,Alfie Burden,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1102,Craig Steadman,Ivan Kakovskii,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1103,Adrian Rosa,Fang Xiongman,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1104,Fergal Quinn (II),Keishin Kamihashi,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1105,Haydon Pinhey,Kayden Brierley,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1106,Brian Ochoiski,Greg Casey,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1107,Sean O'Sullivan,Aidan Murphy (II),3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1108,Florian Nüßle,Kishan Hirani,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1109,Jake Nicholson,Luke Pinches,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1110,Saqib Nasir,Daniel Bagley,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1111,Ross Muir,Joshua Thomond,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1112,Marvin Morgan,Steven Evans,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1113,Hammad Miah,John Astley,3,1,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1114,Robbie Mcguigan,Patrick Whelan,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1115,Jamie McArdle,Stan Moody,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1116,Ian Martin,Ryan Roberts,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1117,Andy Marriott,Mike Hallett,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1118,Oliver Lines,Dean Young,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1119,Simon Lichtenberg,Elliott Weston,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1120,James Leadbetter,Callum Beresford,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1121,Antoni Kowalski,Benji Buckley,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1122,Jamie Jones,Patrick Wallace,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1123,Neal Jones,Ben Jones,3,1,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1124,Hamim Hussain,Bash Maqsood,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1125,Ben Hancorn,Dean Reynolds,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1126,Steven Hallworth,Daniel Ward,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1127,Brandon Hall,Thomas McSorley,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1128,Raymond Fry,Chris Totten,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1129,Leo Fernandez,Ryan Davies,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1130,Chen Feilong,Harvey Chandler,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1131,Dylan Emery,Lee Stephens,3,0,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1132,Adam Edge,Stephen Groves,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1133,Paul Davison,Chris Mason,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1134,Paul Davies,Phil O'Kane,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1135,Jeff Cundy,Rhydian Richards,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1136,Jack Culligan,Tyler Rees,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1137,Ryan Cronin,Ben Mertens,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1138,Stephen Craigie,Jack Haley,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1139,Michael Collumb,Sean Harvey,3,2,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1140,Thor Chuan Leong,Alex Millington,3,2,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1141,Ross Bulman,Alex Taubman,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1142,Oliver Brown,Paul Deaville,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1143,Hans Blanckaert,Sergey Isaenko,3,1,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1144,Jamie Barrett,Manasawin Phetmalaikul,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1145,Mateusz Baranowski,Farakh Ajaib,3,0,5,Last 128,2020-08-05,2020 Q School - Event 2,3753,2020
1146,Sam Baird,Julien Leclercq,3,2,5,Last 128,2020-08-04,2020 Q School - Event 2,3753,2020
1147,Wu Yize,Sean O'Sullivan,4,3,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1148,Daniel Womersley,Jamie Wilson,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1149,Michael White,Antoni Kowalski,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1150,Zak Surety,Jack Dady,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1151,Craig Steadman,Reanne Evans,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1152,Haydon Pinhey,Sam Baird,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1153,Brian Ochoiski,Oliver Brown,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1154,Jake Nicholson,Jamie McArdle,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1155,Marvin Morgan,Hamim Hussain,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1156,Hammad Miah,Dylan Emery,4,3,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1157,Robbie Mcguigan,Jed Mann,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1158,Ian Martin,Andy Marriott,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1159,Oliver Lines,Ryan Thomerson,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1160,Jamie Jones,Adrian Rosa,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1161,Ben Hancorn,Florian Nüßle,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1162,Steven Hallworth,Brandon Hall,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1163,Raymond Fry,Niel Vincent,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1164,Leo Fernandez,Fergal Quinn (II),4,3,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1165,Chen Feilong,Ross Muir,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1166,Paul Davison,Callum Lloyd,4,3,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1167,Paul Davies,Stephen Craigie,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1168,Jack Culligan,Adam Edge,4,3,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1169,Ryan Cronin,James Leadbetter,4,2,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1170,Alex Clenshaw,Neal Jones,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1171,Thor Chuan Leong,Mark Vincent,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1172,Ross Bulman,Michael Collumb,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1173,Jamie Barrett,Hans Blanckaert,4,0,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1174,Mateusz Baranowski,Jeff Cundy,4,1,7,Last 64,2020-08-08,2020 Q School - Event 2,3753,2020
1175,Zak Surety,Jake Nicholson,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1176,Craig Steadman,Marvin Morgan,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1177,Haydon Pinhey,Alex Clenshaw,4,3,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1178,Brian Ochoiski,Robbie Mcguigan,4,0,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1179,Saqib Nasir,Jack Culligan,4,3,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1180,Hammad Miah,Thor Chuan Leong,4,3,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1181,Oliver Lines,Michael White,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1182,Jamie Jones,Raymond Fry,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1183,Kuldesh Johal,Ian Martin,4,1,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1184,Ben Hancorn,Hayden Staniland,4,1,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1185,Michael Georgiou,Daniel Womersley,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1186,Leo Fernandez,Steven Hallworth,4,3,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1187,Chen Feilong,Ryan Cronin,4,0,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1188,Paul Davison,Wu Yize,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1189,Jamie Barrett,Paul Davies,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1190,Mateusz Baranowski,Ross Bulman,4,2,7,Last 32,2020-08-08,2020 Q School - Event 2,3753,2020
1191,Zak Surety,Saqib Nasir,4,2,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1192,Oliver Lines,Brian Ochoiski,4,3,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1193,Jamie Jones,Haydon Pinhey,4,1,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1194,Kuldesh Johal,Jamie Barrett,4,3,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1195,Ben Hancorn,Chen Feilong,4,0,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1196,Michael Georgiou,Hammad Miah,4,3,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1197,Leo Fernandez,Mateusz Baranowski,4,2,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1198,Paul Davison,Craig Steadman,4,3,7,Last 16,2020-08-08,2020 Q School - Event 2,3753,2020
1199,Zak Surety,Leo Fernandez,4,1,7,Quarter-final,2020-08-08,2020 Q School - Event 2,3753,2020
1200,Oliver Lines,Paul Davison,4,2,7,Quarter-final,2020-08-08,2020 Q School - Event 2,3753,2020
1201,Jamie Jones,Michael Georgiou,4,0,7,Quarter-final,2020-08-08,2020 Q School - Event 2,3753,2020
1202,Ben Hancorn,Kuldesh Johal,4,0,7,Quarter-final,2020-08-08,2020 Q School - Event 2,3753,2020
1203,Dean Young,Chae Ross,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1204,Fang Xiongman,Elliott Weston,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1205,Daniel Womersley,Thomas McSorley,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1206,Daniel Ward,Neal Jones,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1207,Patrick Wallace,Jamie Wilson,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1208,Lee Walker,Matthew Glasby,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1209,Mark Vincent,Garry Coulson,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1210,Joshua Thomond,James Silverwood,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1211,Alex Taubman,Sergey Isaenko,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1212,Craig Steadman,Oliver Lines,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1213,Jake Nicholson,Declan Lavery,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1214,Saqib Nasir,Lee Stephens,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1215,Hammad Miah,Bash Maqsood,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1216,Robbie Mcguigan,Mike Hallett,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1217,Simon Lichtenberg,Kishan Hirani,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1218,Julien Leclercq,Wu Yize,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1219,James Leadbetter,Jack Haley,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1220,Jenson Kendrick,Sean McAllister,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1221,Keishin Kamihashi,Dan Barsley,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1222,Robert James,Sean O'Sullivan,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1223,Brandon Hall,Andrew Milliard,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1224,Liam Graham,Chris Mason,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1225,Michael Georgiou,Ryan Thomerson,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1226,Ben Fortey,Manasawin Phetmalaikul,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1227,Reanne Evans,Ryan Cronin,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1228,Adam Edge,David Finbow,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1229,Ryan Davies,Ben Jones,3,2,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1230,Jeff Cundy,Jamie Brown,3,1,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1231,Bradley Cowdroy,Kharazchi Jamshid,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
1232,Harvey Chandler,Kayden Brierley,3,0,5,Round 1,2020-08-03,2020 Q School - Event 1,3752,2020
