,id,year,url,name,status,category,city,country
242,4470,2021,https://cuetracker.net/tournaments/welsh-masters-championship/2021/4470,2021 Welsh Masters Championship,Amateur,National Championship,Llanelli,Wales
243,4467,2021,https://cuetracker.net/tournaments/turkish-amateur-championship/2021/4467,2021 Turkish Amateur Championship,Amateur,National Championship,Istanbul,Turkey
244,4455,2021,https://cuetracker.net/tournaments/world-seniors-super-seniors-event-2/2021/4455,2021 World Seniors Super Seniors - Event 2,Amateur,Event,Reading,England
245,4447,2021,https://cuetracker.net/tournaments/danish-under-21-championship/2021/4447,2021 Danish Under-21 Championship,Amateur,National Championship,Copenhagen,Denmark
246,4444,2021,https://cuetracker.net/tournaments/world-seniors-uk-championship-qualifier-2/2021/4444,2021 World Seniors UK Championship - Qualifier 2,Amateur,Event,Reading,England
247,4443,2021,https://cuetracker.net/tournaments/world-seniors-super-seniors-event-1/2021/4443,2021 World Seniors Super Seniors - Event 1,Amateur,Event,Reading,England
248,4442,2021,https://cuetracker.net/tournaments/world-seniors-uk-championship-qualifier-1/2021/4442,2021 World Seniors UK Championship - Qualifier 1,Amateur,Event,Reading,England
249,4441,2021,https://cuetracker.net/tournaments/championship-league/2021/4441,2021 Championship League,Professional,Ranking,Leicester,England
250,4426,2021,https://cuetracker.net/tournaments/danish-amateur-championship/2021/4426,2021 Danish Amateur Championship,Amateur,National Championship,Copenhagen,Denmark
251,4440,2021,https://cuetracker.net/tournaments/portuguese-amateur-championship/2021/4440,2021 Portuguese Amateur Championship,Amateur,National Championship,Curia,Portugal
252,4439,2021,https://cuetracker.net/tournaments/northern-ireland-amateur-championship/2021/4439,2021 Northern Ireland Amateur Championship,Amateur,National Championship,Antrim,Northern Ireland
253,4427,2021,https://cuetracker.net/tournaments/northern-ireland-under-21-championship/2021/4427,2021 Northern Ireland Under-21 Championship,Amateur,National Championship,Magherafelt,Northern Ireland
254,4428,2021,https://cuetracker.net/tournaments/spanish-amateur-championship/2021/4428,2021 Spanish Amateur Championship,Amateur,National Championship,Madrid,Spain
255,4429,2021,https://cuetracker.net/tournaments/malta-amateur-championship/2021/4429,2021 Malta Amateur Championship,Amateur,National Championship,Hamrun,Malta
256,4422,2021,https://cuetracker.net/tournaments/bulgarian-amateur-championship/2021/4422,2021 Bulgarian Amateur Championship,Amateur,National Championship,Sofia,Bulgaria
257,4425,2021,https://cuetracker.net/tournaments/irish-womens-6-red-championship/2021/4425,2021 Irish Womens 6-red Championship,Amateur,National Championship,Newbridge,Ireland
258,4416,2021,https://cuetracker.net/tournaments/romania-national-league-event-6/2021/4416,2021 Romania - National League - Event 6,Amateur,National Ranking,Bucharest,Romania
