player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Noppon Saengkham,Stuart Bingham,5,1426,1427,0.4988281268310518,0.4993750003255206,443,233,3016,1525,1474,930,10188,5779,7,2,632,342,6,1,700,371,2,3,1.0,0.4,5964,0.5056366047745358,0.5672359638790734,0.5259593679458239,0.6309362279511533
Chris Wakelin,Stuart Bingham,5,1425,1427,0.4976562646483459,0.4987500026041601,386,209,2487,1285,1474,930,10188,5779,16,8,588,322,6,1,700,371,2,3,1.0,0.4,5964,0.5166867712102935,0.5672359638790734,0.5414507772020726,0.6309362279511533
Robert Milkins,Stuart Bingham,5,1391,1427,0.4578977569988384,0.4775151752081998,1118,648,7764,4157,1474,930,10188,5779,22,11,805,415,6,1,700,371,1,3,1.0,0.25,5964,0.5354198866563628,0.5672359638790734,0.5796064400715564,0.6309362279511533
Gary Wilson,Stuart Bingham,5,1394,1427,0.4613938158117556,0.4793866902855513,690,397,4433,2385,1474,930,10188,5779,9,4,641,334,6,1,700,371,2,3,1.0,0.4,5964,0.5380103767200541,0.5672359638790734,0.5753623188405798,0.6309362279511533
Ryan Day,Gary Wilson,5,1362,1394,0.4625599041344139,0.4800106598444181,1283,760,8460,4613,690,397,4433,2385,35,21,741,392,9,4,641,334,2,3,1.0,0.4,5964,0.5452718676122932,0.5380103767200541,0.5923616523772408,0.5753623188405798
Stuart Bingham,Kyren Wilson,5,1427,1544,0.3657616956605628,0.4273919361367398,1474,930,10188,5779,978,622,6241,3523,6,1,700,371,42,28,934,552,3,0,0.0,1.0,5964,0.5672359638790734,0.5644928697324146,0.6309362279511533,0.6359918200408998
Gary Wilson,Stuart Bingham,5,1394,1427,0.4613938158117556,0.4793866902855513,690,397,4433,2385,1474,930,10188,5779,9,4,641,334,6,1,700,371,0,3,1.0,0.0,5964,0.5380103767200541,0.5672359638790734,0.5753623188405798,0.6309362279511533
Kyren Wilson,Gary Wilson,5,1544,1394,0.6698121871378511,0.5926665999540698,978,622,6241,3523,690,397,4433,2385,42,28,934,552,9,4,641,334,0,3,1.0,0.0,5964,0.5644928697324146,0.5380103767200541,0.6359918200408998,0.5753623188405798
Ryan Day,Kyren Wilson,5,1362,1544,0.2972109628192383,0.3881726309982629,1283,760,8460,4613,978,622,6241,3523,35,21,741,392,42,28,934,552,1,3,1.0,0.25,5964,0.5452718676122932,0.5644928697324146,0.5923616523772408,0.6359918200408998
Gary Wilson,Matthew Selt,5,1394,1440,0.4462713899768853,0.4712816430485603,690,397,4433,2385,858,467,5525,2880,9,4,641,334,21,12,772,395,3,0,0.0,1.0,5964,0.5380103767200541,0.5212669683257919,0.5753623188405798,0.5442890442890443
Kyren Wilson,Chris Wakelin,5,1544,1425,0.6364344798338326,0.5738312575916094,978,622,6241,3523,386,209,2487,1285,42,28,934,552,16,8,588,322,3,0,0.0,1.0,5964,0.5644928697324146,0.5166867712102935,0.6359918200408998,0.5414507772020726
Matthew Selt,Kyren Wilson,5,1440,1544,0.3801503874596027,0.4353637081969708,858,467,5525,2880,978,622,6241,3523,21,12,772,395,42,28,934,552,1,3,1.0,0.25,5964,0.5212669683257919,0.5644928697324146,0.5442890442890443,0.6359918200408998
Ryan Day,Gary Wilson,5,1362,1394,0.4625599041344139,0.4800106598444181,1283,760,8460,4613,690,397,4433,2385,35,21,741,392,9,4,641,334,0,3,1.0,0.0,5964,0.5452718676122932,0.5380103767200541,0.5923616523772408,0.5753623188405798
Kyren Wilson,Mark Selby,5,1544,1547,0.4964844244377812,0.498125008789013,978,622,6241,3523,1519,1039,10874,6333,42,28,934,552,6,1,936,531,3,1,0.0,0.75,5964,0.5644928697324146,0.5823983814603642,0.6359918200408998,0.6840026333113891
Chris Wakelin,Ryan Day,5,1425,1362,0.5733730992985561,0.5392938058983595,386,209,2487,1285,1283,760,8460,4613,16,8,588,322,35,21,741,392,3,2,0.0,0.6,5964,0.5166867712102935,0.5452718676122932,0.5414507772020726,0.5923616523772408
Gary Wilson,Chris Wakelin,5,1394,1425,0.4637263421491738,0.480634691770068,690,397,4433,2385,386,209,2487,1285,9,4,641,334,16,8,588,322,2,3,1.0,0.4,5964,0.5380103767200541,0.5166867712102935,0.5753623188405798,0.5414507772020726
Ali Carter,Chris Wakelin,5,1491,1425,0.5768208908002201,0.5411566681502281,1291,796,8702,4815,386,209,2487,1285,33,21,890,505,16,8,588,322,0,3,1.0,0.0,5964,0.5533210756148011,0.5166867712102935,0.616576297443842,0.5414507772020726
Chris Wakelin,Matthew Selt,5,1425,1440,0.4824280526376499,0.4906260984783392,386,209,2487,1285,858,467,5525,2880,16,8,588,322,21,12,772,395,3,0,0.0,1.0,5964,0.5166867712102935,0.5212669683257919,0.5414507772020726,0.5442890442890443
Matthew Selt,Ryan Day,5,1440,1362,0.5905455113158475,0.5485961085831343,858,467,5525,2880,1283,760,8460,4613,21,12,772,395,35,21,741,392,3,2,0.0,0.6,5964,0.5212669683257919,0.5452718676122932,0.5442890442890443,0.5923616523772408
Mark Selby,Matthew Selt,5,1547,1440,0.6231870113548369,0.566479055967628,1519,1039,10874,6333,858,467,5525,2880,6,1,936,531,21,12,772,395,1,3,1.0,0.25,5964,0.5823983814603642,0.5212669683257919,0.6840026333113891,0.5442890442890443
Chris Wakelin,Mark Selby,5,1425,1547,0.3602803892460284,0.4243356489574506,386,209,2487,1285,1519,1039,10874,6333,16,8,588,322,6,1,936,531,1,3,1.0,0.25,5964,0.5166867712102935,0.5823983814603642,0.5414507772020726,0.6840026333113891
Ali Carter,Mark Selby,5,1491,1547,0.4346949935826374,0.4650570548417855,1291,796,8702,4815,1519,1039,10874,6333,33,21,890,505,6,1,936,531,0,3,1.0,0.0,5964,0.5533210756148011,0.5823983814603642,0.616576297443842,0.6840026333113891
Mark Selby,Gary Wilson,5,1547,1394,0.6729712107074448,0.5944759307482401,1519,1039,10874,6333,690,397,4433,2385,6,1,936,531,9,4,641,334,3,1,0.0,0.75,5964,0.5823983814603642,0.5380103767200541,0.6840026333113891,0.5753623188405798
Ryan Day,Mark Selby,5,1362,1547,0.2942045689013524,0.3863929221952217,1283,760,8460,4613,1519,1039,10874,6333,35,21,741,392,6,1,936,531,1,3,1.0,0.25,5964,0.5452718676122932,0.5823983814603642,0.5923616523772408,0.6840026333113891
Ali Carter,Matthew Selt,5,1491,1440,0.5595237173859442,0.5318318894162242,1291,796,8702,4815,858,467,5525,2880,33,21,890,505,21,12,772,395,3,2,0.0,0.6,5964,0.5533210756148011,0.5212669683257919,0.616576297443842,0.5442890442890443
Kyren Wilson,Ali Carter,5,1544,1491,0.5618379649527968,0.5330766223661048,978,622,6241,3523,1291,796,8702,4815,42,28,934,552,33,21,890,505,1,3,1.0,0.25,5964,0.5644928697324146,0.5533210756148011,0.6359918200408998,0.616576297443842
Ali Carter,Ryan Day,5,1491,1362,0.6473410927124849,0.5799334001885058,1291,796,8702,4815,1283,760,8460,4613,33,21,890,505,35,21,741,392,3,0,0.0,1.0,5964,0.5533210756148011,0.5452718676122932,0.616576297443842,0.5923616523772408
Ali Carter,Gary Wilson,5,1491,1394,0.6120249765400066,0.5603296426885532,1291,796,8702,4815,690,397,4433,2385,33,21,890,505,9,4,641,334,3,0,0.0,1.0,5964,0.5533210756148011,0.5380103767200541,0.616576297443842,0.5753623188405798
Kyren Wilson,Chris Wakelin,5,1544,1425,0.6364344798338326,0.5738312575916094,978,622,6241,3523,386,209,2487,1285,42,28,934,552,16,8,588,322,1,3,1.0,0.25,5964,0.5644928697324146,0.5166867712102935,0.6359918200408998,0.5414507772020726
Ali Carter,Mark Selby,5,1491,1547,0.4346949935826374,0.4650570548417855,1291,796,8702,4815,1519,1039,10874,6333,33,21,890,505,6,1,936,531,1,3,1.0,0.25,5964,0.5533210756148011,0.5823983814603642,0.616576297443842,0.6840026333113891
Chris Wakelin,Mark Selby,5,1425,1547,0.3602803892460285,0.4243356489574506,386,209,2487,1285,1519,1039,10874,6333,16,8,588,322,6,1,936,531,3,2,0.0,0.6,5964,0.5166867712102935,0.5823983814603642,0.5414507772020726,0.6840026333113891
Mark Selby,Kyren Wilson,5,1547,1544,0.5035155755622188,0.501874991210987,1519,1039,10874,6333,978,622,6241,3523,6,1,936,531,42,28,934,552,1,3,1.0,0.25,5964,0.5823983814603642,0.5644928697324146,0.6840026333113891,0.6359918200408998
Kyren Wilson,Tom Ford,5,1544,1495,0.5572072587665267,0.530586760182081,978,622,6241,3523,922,530,6269,3356,42,28,934,552,26,18,759,412,3,2,0.0,0.6,5964,0.5644928697324146,0.5353325889296539,0.6359918200408998,0.5748373101952278
Gary Wilson,Kyren Wilson,5,1394,1544,0.3301878128621489,0.4073334000459302,690,397,4433,2385,978,622,6241,3523,9,4,641,334,42,28,934,552,3,0,0.0,1.0,5964,0.5380103767200541,0.5644928697324146,0.5753623188405798,0.6359918200408998
Gary Wilson,Tom Ford,5,1394,1495,0.3834975075842005,0.4372082598613548,690,397,4433,2385,922,530,6269,3356,9,4,641,334,26,18,759,412,3,0,0.0,1.0,5964,0.5380103767200541,0.5353325889296539,0.5753623188405798,0.5748373101952278
Kyren Wilson,Xiao Guodong,5,1544,1426,0.6353369950989738,0.5732197726798348,978,622,6241,3523,729,422,4563,2501,42,28,934,552,12,6,744,393,3,0,0.0,1.0,5964,0.5644928697324146,0.5481043173350866,0.6359918200408998,0.578875171467764
Neil Robertson,Kyren Wilson,5,1441,1544,0.3812650263299544,0.4359783625737423,1235,822,9124,5250,978,622,6241,3523,25,18,739,419,42,28,934,552,1,3,1.0,0.25,5964,0.5754055238930293,0.5644928697324146,0.665587044534413,0.6359918200408998
Xiao Guodong,Mark Selby,5,1426,1547,0.3613742036607614,0.424946451444212,729,422,4563,2501,1519,1039,10874,6333,12,6,744,393,6,1,936,531,2,3,1.0,0.4,5964,0.5481043173350866,0.5823983814603642,0.578875171467764,0.6840026333113891
Gary Wilson,Mark Selby,5,1394,1547,0.3270287892925552,0.4055240692517599,690,397,4433,2385,1519,1039,10874,6333,9,4,641,334,6,1,936,531,2,3,1.0,0.4,5964,0.5380103767200541,0.5823983814603642,0.5753623188405798,0.6840026333113891
Mark Selby,Neil Robertson,5,1547,1441,0.622075640573307,0.5658650028954817,1519,1039,10874,6333,1235,822,9124,5250,6,1,936,531,25,18,739,419,3,1,0.0,0.75,5964,0.5823983814603642,0.5754055238930293,0.6840026333113891,0.665587044534413
Mark Selby,Tom Ford,5,1547,1495,0.5606811228214462,0.5324543063873187,1519,1039,10874,6333,922,530,6269,3356,6,1,936,531,26,18,759,412,3,2,0.0,0.6,5964,0.5823983814603642,0.5353325889296539,0.6840026333113891,0.5748373101952278
Gary Wilson,Neil Robertson,5,1394,1441,0.4451113264085089,0.4706587499542144,690,397,4433,2385,1235,822,9124,5250,9,4,641,334,25,18,739,419,0,3,1.0,0.0,5964,0.5380103767200541,0.5754055238930293,0.5753623188405798,0.665587044534413
Neil Robertson,Tom Ford,5,1441,1495,0.4370057667393497,0.4663011645670992,1235,822,9124,5250,922,530,6269,3356,25,18,739,419,26,18,759,412,3,0,0.0,1.0,5964,0.5754055238930293,0.5353325889296539,0.665587044534413,0.5748373101952278
Xiao Guodong,Neil Robertson,5,1426,1441,0.4824280526376501,0.4906260984783392,729,422,4563,2501,1235,822,9124,5250,12,6,744,393,25,18,739,419,1,3,1.0,0.25,5964,0.5481043173350866,0.5754055238930293,0.578875171467764,0.665587044534413
Kyren Wilson,John Higgins,5,1544,1602,0.4323866415032619,0.4638133797682052,978,622,6241,3523,1825,1290,14209,8387,42,28,934,552,30,17,994,575,0,3,1.0,0.0,5964,0.5644928697324146,0.590259694559786,0.6359918200408998,0.7068493150684931
Gary Wilson,John Higgins,5,1394,1602,0.2716762584957529,0.3728522336868044,690,397,4433,2385,1825,1290,14209,8387,9,4,641,334,30,17,994,575,0,3,1.0,0.0,5964,0.5380103767200541,0.590259694559786,0.5753623188405798,0.7068493150684931
John Higgins,Mark Selby,5,1602,1547,0.5641499172433742,0.5343209436693046,1825,1290,14209,8387,1519,1039,10874,6333,30,17,994,575,6,1,936,531,3,2,0.0,0.6,5964,0.590259694559786,0.5823983814603642,0.7068493150684931,0.6840026333113891
Neil Robertson,John Higgins,5,1441,1602,0.3186707815338461,0.4007118364916439,1235,822,9124,5250,1825,1290,14209,8387,25,18,739,419,30,17,994,575,2,3,1.0,0.4,5964,0.5754055238930293,0.590259694559786,0.665587044534413,0.7068493150684931
Tom Ford,Xiao Guodong,5,1495,1426,0.5802623027882188,0.5430183807243099,922,530,6269,3356,729,422,4563,2501,26,18,759,412,12,6,744,393,0,3,1.0,0.0,5964,0.5353325889296539,0.5481043173350866,0.5748373101952278,0.578875171467764
John Higgins,Xiao Guodong,5,1602,1426,0.6967309158399477,0.6082590307465143,1825,1290,14209,8387,729,422,4563,2501,30,17,994,575,12,6,744,393,2,3,1.0,0.4,5964,0.590259694559786,0.5481043173350866,0.7068493150684931,0.578875171467764
Gary Wilson,Xiao Guodong,5,1394,1426,0.4625599041344139,0.4800106598444181,690,397,4433,2385,729,422,4563,2501,9,4,641,334,12,6,744,393,2,3,1.0,0.4,5964,0.5380103767200541,0.5481043173350866,0.5753623188405798,0.578875171467764
Tom Ford,John Higgins,5,1495,1602,0.3768129886451631,0.433520944032372,922,530,6269,3356,1825,1290,14209,8387,26,18,759,412,30,17,994,575,3,2,0.0,0.6,5964,0.5353325889296539,0.590259694559786,0.5748373101952278,0.7068493150684931
Kyren Wilson,Mark Selby,5,1544,1547,0.4964844244377815,0.4981250087890131,978,622,6241,3523,1519,1039,10874,6333,42,28,934,552,6,1,936,531,0,3,1.0,0.0,5964,0.5644928697324146,0.5823983814603642,0.6359918200408998,0.6840026333113891
John Higgins,Neil Robertson,5,1602,1441,0.6813292184661539,0.5992881635083561,1825,1290,14209,8387,1235,822,9124,5250,30,17,994,575,25,18,739,419,3,0,0.0,1.0,5964,0.590259694559786,0.5754055238930293,0.7068493150684931,0.665587044534413
John Higgins,Mark Selby,5,1602,1547,0.5641499172433742,0.5343209436693046,1825,1290,14209,8387,1519,1039,10874,6333,30,17,994,575,6,1,936,531,0,3,1.0,0.0,5964,0.590259694559786,0.5823983814603642,0.7068493150684931,0.6840026333113891
Kyren Wilson,Neil Robertson,5,1544,1441,0.6187349736700456,0.5640216374262577,978,622,6241,3523,1235,822,9124,5250,42,28,934,552,25,18,739,419,3,2,0.0,0.6,5964,0.5644928697324146,0.5754055238930293,0.6359918200408998,0.665587044534413
Ricky Walden,Kyren Wilson,5,1389,1544,0.3249302066864001,0.4043192693921528,1131,673,7634,4184,978,622,6241,3523,15,9,693,371,42,28,934,552,2,3,1.0,0.4,5964,0.548074403982185,0.5644928697324146,0.5950486295313882,0.6359918200408998
Kyren Wilson,Barry Hawkins,5,1544,1559,0.4824280526376499,0.4906260984783392,978,622,6241,3523,1312,821,9034,5064,42,28,934,552,13,6,696,404,3,1,0.0,0.75,5964,0.5644928697324146,0.5605490369714412,0.6359918200408998,0.6257621951219512
Jimmy Robertson,Ricky Walden,5,1371,1389,0.4789169233072372,0.4887518980531452,726,399,4729,2471,1131,673,7634,4184,13,5,582,312,15,9,693,371,0,3,1.0,0.0,5964,0.5225206174666949,0.548074403982185,0.5495867768595041,0.5950486295313882
Neil Robertson,Ricky Walden,5,1441,1389,0.5606811228214462,0.5324543063873188,1235,822,9124,5250,1131,673,7634,4184,25,18,739,419,15,9,693,371,1,3,1.0,0.25,5964,0.5754055238930293,0.548074403982185,0.665587044534413,0.5950486295313882
Ricky Walden,John Higgins,5,1389,1602,0.2669046341101813,0.3699339917149817,1131,673,7634,4184,1825,1290,14209,8387,15,9,693,371,30,17,994,575,3,1,0.0,0.75,5964,0.548074403982185,0.590259694559786,0.5950486295313882,0.7068493150684931
Neil Robertson,Xiao Guodong,5,1441,1426,0.5175719473623499,0.5093739015216607,1235,822,9124,5250,729,422,4563,2501,25,18,739,419,12,6,744,393,3,1,0.0,0.75,5964,0.5754055238930293,0.5481043173350866,0.665587044534413,0.578875171467764
Jimmy Robertson,Xiao Guodong,5,1371,1426,0.4358500827566258,0.4656790563306954,726,399,4729,2471,729,422,4563,2501,13,5,582,312,12,6,744,393,3,2,0.0,0.6,5964,0.5225206174666949,0.5481043173350866,0.5495867768595041,0.578875171467764
Kyren Wilson,Jimmy Robertson,5,1544,1371,0.6936795262432323,0.6064704870683035,978,622,6241,3523,726,399,4729,2471,42,28,934,552,13,5,582,312,0,3,1.0,0.0,5964,0.5644928697324146,0.5225206174666949,0.6359918200408998,0.5495867768595041
Neil Robertson,John Higgins,5,1441,1602,0.3186707815338461,0.4007118364916439,1235,822,9124,5250,1825,1290,14209,8387,25,18,739,419,30,17,994,575,3,0,0.0,1.0,5964,0.5754055238930293,0.590259694559786,0.665587044534413,0.7068493150684931
Barry Hawkins,Jimmy Robertson,5,1559,1371,0.7087864947296306,0.6153837563911821,1312,821,9034,5064,726,399,4729,2471,13,6,696,404,13,5,582,312,1,3,1.0,0.25,5964,0.5605490369714412,0.5225206174666949,0.6257621951219512,0.5495867768595041
Jimmy Robertson,Neil Robertson,5,1371,1441,0.4185920253008927,0.4563613127629211,726,399,4729,2471,1235,822,9124,5250,13,5,582,312,25,18,739,419,0,3,1.0,0.0,5964,0.5225206174666949,0.5754055238930293,0.5495867768595041,0.665587044534413
John Higgins,Barry Hawkins,5,1602,1559,0.5502454628672198,0.5268491486891144,1825,1290,14209,8387,1312,821,9034,5064,30,17,994,575,13,6,696,404,3,1,0.0,0.75,5964,0.590259694559786,0.5605490369714412,0.7068493150684931,0.6257621951219512
Kyren Wilson,John Higgins,5,1544,1602,0.4323866415032619,0.4638133797682052,978,622,6241,3523,1825,1290,14209,8387,42,28,934,552,30,17,994,575,2,3,1.0,0.4,5964,0.5644928697324146,0.590259694559786,0.6359918200408998,0.7068493150684931
John Higgins,Xiao Guodong,5,1602,1426,0.6967309158399476,0.6082590307465143,1825,1290,14209,8387,729,422,4563,2501,30,17,994,575,12,6,744,393,3,2,0.0,0.6,5964,0.590259694559786,0.5481043173350866,0.7068493150684931,0.578875171467764
Jimmy Robertson,John Higgins,5,1371,1602,0.2501143259430356,0.3595080462766614,726,399,4729,2471,1825,1290,14209,8387,13,5,582,312,30,17,994,575,2,3,1.0,0.4,5964,0.5225206174666949,0.590259694559786,0.5495867768595041,0.7068493150684931
Barry Hawkins,Ricky Walden,5,1559,1389,0.6906134819670169,0.6046790847140093,1312,821,9034,5064,1131,673,7634,4184,13,6,696,404,15,9,693,371,3,0,0.0,1.0,5964,0.5605490369714412,0.548074403982185,0.6257621951219512,0.5950486295313882
Barry Hawkins,Xiao Guodong,5,1559,1426,0.6516678097021388,0.5823675407280794,1312,821,9034,5064,729,422,4563,2501,13,6,696,404,12,6,744,393,3,1,0.0,0.75,5964,0.5605490369714412,0.5481043173350866,0.6257621951219512,0.578875171467764
Barry Hawkins,Neil Robertson,5,1559,1441,0.6353369950989738,0.5732197726798348,1312,821,9034,5064,1235,822,9124,5250,13,6,696,404,25,18,739,419,3,0,0.0,1.0,5964,0.5605490369714412,0.5754055238930293,0.6257621951219512,0.665587044534413
Xiao Guodong,Kyren Wilson,5,1426,1544,0.3646630049010261,0.4267802273201651,729,422,4563,2501,978,622,6241,3523,12,6,744,393,42,28,934,552,3,1,0.0,0.75,5964,0.5481043173350866,0.5644928697324146,0.578875171467764,0.6359918200408998
Ricky Walden,Xiao Guodong,5,1389,1426,0.4567331753896466,0.4768914745109109,1131,673,7634,4184,729,422,4563,2501,15,9,693,371,12,6,744,393,0,3,1.0,0.0,5964,0.548074403982185,0.5481043173350866,0.5950486295313882,0.578875171467764
John Higgins,Kyren Wilson,5,1602,1544,0.5676133584967381,0.5361866202317946,1825,1290,14209,8387,978,622,6241,3523,30,17,994,575,42,28,934,552,1,3,1.0,0.25,5964,0.590259694559786,0.5644928697324146,0.7068493150684931,0.6359918200408998
Barry Hawkins,Neil Robertson,5,1559,1441,0.6353369950989739,0.5732197726798349,1312,821,9034,5064,1235,822,9124,5250,13,6,696,404,25,18,739,419,0,3,1.0,0.0,5964,0.5605490369714412,0.5754055238930293,0.6257621951219512,0.665587044534413
Neil Robertson,Kyren Wilson,5,1441,1544,0.3812650263299546,0.4359783625737424,1235,822,9124,5250,978,622,6241,3523,25,18,739,419,42,28,934,552,3,2,0.0,0.6,5964,0.5754055238930293,0.5644928697324146,0.665587044534413,0.6359918200408998
Ricky Walden,Fan Zhengyi,5,1389,1367,0.5257617676645828,0.513746534902355,1131,673,7634,4184,159,67,1048,473,15,9,693,371,34,20,547,287,1,3,1.0,0.25,5964,0.548074403982185,0.45133587786259544,0.5950486295313882,0.42138364779874216
David Gilbert,Fan Zhengyi,5,1454,1367,0.6007614835262753,0.5541616527636486,923,538,6308,3409,159,67,1048,473,12,7,578,314,34,20,547,287,2,3,1.0,0.4,5964,0.540424857324033,0.45133587786259544,0.5828819068255688,0.42138364779874216
Fan Zhengyi,Joe Perry,5,1367,1349,0.5210830766927628,0.5112481019468548,159,67,1048,473,1371,800,9421,5093,34,20,547,287,17,11,597,304,3,2,0.0,0.6,5964,0.45133587786259544,0.5406007854792485,0.42138364779874216,0.5835156819839533
Kyren Wilson,Fan Zhengyi,5,1544,1367,0.6977447588697663,0.6088545692109504,978,622,6241,3523,159,67,1048,473,42,28,934,552,34,20,547,287,0,3,1.0,0.0,5964,0.5644928697324146,0.45133587786259544,0.6359918200408998,0.42138364779874216
John Higgins,Kyren Wilson,5,1602,1544,0.5676133584967381,0.5361866202317946,1825,1290,14209,8387,978,622,6241,3523,30,17,994,575,42,28,934,552,2,3,1.0,0.4,5964,0.590259694559786,0.5644928697324146,0.7068493150684931,0.6359918200408998
David Gilbert,Kyren Wilson,5,1454,1544,0.3958493803112608,0.4439861094553801,923,538,6308,3409,978,622,6241,3523,12,7,578,314,42,28,934,552,0,3,1.0,0.0,5964,0.540424857324033,0.5644928697324146,0.5828819068255688,0.6359918200408998
Kyren Wilson,Ricky Walden,5,1544,1389,0.6750697933135998,0.5956807306078472,978,622,6241,3523,1131,673,7634,4184,42,28,934,552,15,9,693,371,0,3,1.0,0.0,5964,0.5644928697324146,0.548074403982185,0.6359918200408998,0.5950486295313882
Ricky Walden,Joe Perry,5,1389,1349,0.5467581048282663,0.52497918747894,1131,673,7634,4184,1371,800,9421,5093,15,9,693,371,17,11,597,304,3,2,0.0,0.6,5964,0.548074403982185,0.5406007854792485,0.5950486295313882,0.5835156819839533
Kyren Wilson,Joe Perry,5,1544,1349,0.7157051350927017,0.6195173196470847,978,622,6241,3523,1371,800,9421,5093,42,28,934,552,17,11,597,304,2,3,1.0,0.4,5964,0.5644928697324146,0.5406007854792485,0.6359918200408998,0.5835156819839533
Ricky Walden,John Higgins,5,1389,1602,0.2669046341101813,0.3699339917149817,1131,673,7634,4184,1825,1290,14209,8387,15,9,693,371,30,17,994,575,2,3,1.0,0.4,5964,0.548074403982185,0.590259694559786,0.5950486295313882,0.7068493150684931
David Gilbert,John Higgins,5,1454,1602,0.3323011747459479,0.4085410215672199,923,538,6308,3409,1825,1290,14209,8387,12,7,578,314,30,17,994,575,2,3,1.0,0.4,5964,0.540424857324033,0.590259694559786,0.5828819068255688,0.7068493150684931
John Higgins,Fan Zhengyi,5,1602,1367,0.7535327852276485,0.6427913242407762,1825,1290,14209,8387,159,67,1048,473,30,17,994,575,34,20,547,287,3,0,0.0,1.0,5964,0.590259694559786,0.45133587786259544,0.7068493150684931,0.42138364779874216
Joe Perry,John Higgins,5,1349,1602,0.2304434131898824,0.3469438867133873,1371,800,9421,5093,1825,1290,14209,8387,17,11,597,304,30,17,994,575,0,3,1.0,0.0,5964,0.5406007854792485,0.590259694559786,0.5835156819839533,0.7068493150684931
John Higgins,Barry Hawkins,5,1602,1559,0.5502454628672198,0.5268491486891143,1825,1290,14209,8387,1312,821,9034,5064,30,17,994,575,13,6,696,404,0,3,1.0,0.0,5964,0.590259694559786,0.5605490369714412,0.7068493150684931,0.6257621951219512
Barry Hawkins,Kyren Wilson,5,1559,1544,0.5175719473623499,0.5093739015216607,1312,821,9034,5064,978,622,6241,3523,13,6,696,404,42,28,934,552,3,2,0.0,0.6,5964,0.5605490369714412,0.5644928697324146,0.6257621951219512,0.6359918200408998
Fan Zhengyi,Barry Hawkins,5,1367,1559,0.2872495430914202,0.382252125230751,159,67,1048,473,1312,821,9034,5064,34,20,547,287,13,6,696,404,1,3,1.0,0.25,5964,0.45133587786259544,0.5605490369714412,0.42138364779874216,0.6257621951219512
Barry Hawkins,David Gilbert,5,1559,1454,0.6209631712437256,0.5652507475670999,1312,821,9034,5064,923,538,6308,3409,13,6,696,404,12,7,578,314,3,0,0.0,1.0,5964,0.5605490369714412,0.540424857324033,0.6257621951219512,0.5828819068255688
Barry Hawkins,Ricky Walden,5,1559,1389,0.6906134819670169,0.6046790847140093,1312,821,9034,5064,1131,673,7634,4184,13,6,696,404,15,9,693,371,3,0,0.0,1.0,5964,0.5605490369714412,0.548074403982185,0.6257621951219512,0.5950486295313882
Barry Hawkins,Joe Perry,5,1559,1349,0.7302379118337844,0.6283161882953663,1312,821,9034,5064,1371,800,9421,5093,13,6,696,404,17,11,597,304,3,1,0.0,0.75,5964,0.5605490369714412,0.5406007854792485,0.6257621951219512,0.5835156819839533
Joe Perry,David Gilbert,5,1349,1454,0.3790368287562744,0.4347492524329001,1371,800,9421,5093,923,538,6308,3409,17,11,597,304,12,7,578,314,0,3,1.0,0.0,5964,0.5406007854792485,0.540424857324033,0.5835156819839533,0.5828819068255688
Ricky Walden,David Gilbert,5,1389,1454,0.4243276778778329,0.4594641607262106,1131,673,7634,4184,923,538,6308,3409,15,9,693,371,12,7,578,314,2,3,1.0,0.4,5964,0.548074403982185,0.540424857324033,0.5950486295313882,0.5828819068255688
Barry Hawkins,Ricky Walden,5,1559,1389,0.6906134819670169,0.6046790847140093,1312,821,9034,5064,1131,673,7634,4184,13,6,696,404,15,9,693,371,1,3,1.0,0.25,5964,0.5605490369714412,0.548074403982185,0.6257621951219512,0.5950486295313882
John Higgins,Fan Zhengyi,5,1602,1367,0.7535327852276485,0.6427913242407762,1825,1290,14209,8387,159,67,1048,473,30,17,994,575,34,20,547,287,3,2,0.0,0.6,5964,0.590259694559786,0.45133587786259544,0.7068493150684931,0.42138364779874216
John Higgins,Ricky Walden,5,1602,1389,0.7330953658898187,0.6300660082850182,1825,1290,14209,8387,1131,673,7634,4184,30,17,994,575,15,9,693,371,3,2,0.0,0.6,5964,0.590259694559786,0.548074403982185,0.7068493150684931,0.5950486295313882
Fan Zhengyi,Ricky Walden,5,1367,1389,0.4742382323354172,0.486253465097645,159,67,1048,473,1131,673,7634,4184,34,20,547,287,15,9,693,371,3,1,0.0,0.75,5964,0.45133587786259544,0.548074403982185,0.42138364779874216,0.5950486295313882
Elliot Slessor,Fan Zhengyi,5,1347,1367,0.4765771392872377,0.4875026035157896,346,167,2119,1032,159,67,1048,473,14,7,443,223,34,20,547,287,1,3,1.0,0.25,5964,0.487022180273714,0.45133587786259544,0.48265895953757226,0.42138364779874216
