player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Bradley Cowdroy,Mark Bell,7,951,982,0.4577018760615691,0.4806346917700681,22,7,105,42,13,5,70,31,5,1,43,15,12,7,25,12,4,2,0.0,0.6666666666666666,6803,0.4,0.44285714285714284,0.3181818181818182,0.38461538461538464
Billy Joe Castle,Kaylan Patel,7,1140,1012,0.6692199309586204,0.5793242521487495,163,72,903,417,3,1,26,12,20,13,79,43,26,12,26,12,4,0,0.0,1.0,6803,0.46179401993355484,0.46153846153846156,0.44171779141104295,0.3333333333333333
Daniel Boyes,Daniel Young (II),7,1009,958,0.5693507188778237,0.5318318894162242,4,2,18,10,3,0,13,1,17,10,18,10,4,0,13,1,4,1,0.0,0.8,6803,0.5555555555555556,0.07692307692307693,0.5,0.0
Aidan Gallagher,Richard Binns,7,961,972,0.4849647276654207,0.4931254332354657,6,1,30,9,10,3,49,19,5,1,30,9,11,6,11,6,1,4,1.0,0.1999999999999999,6803,0.3,0.3877551020408163,0.16666666666666666,0.3
Scott Bell,Ronan McGuirk,7,899,988,0.3802964135005039,0.4446033516794108,23,6,121,42,1,0,5,1,11,4,39,13,5,1,5,1,4,0,0.0,1.0,6803,0.34710743801652894,0.2,0.2608695652173913,0.0
Craig Barber,Ross Vallance,7,931,1050,0.3419698023265051,0.4261687424083906,78,32,486,220,37,17,193,92,4,0,4,0,6,2,6,2,4,2,0.0,0.6666666666666666,6803,0.45267489711934156,0.47668393782383417,0.41025641025641024,0.4594594594594595
John Astley,Ethan Llewellyn,7,1245,990,0.8070005952389404,0.654188113761243,353,158,2200,1039,1,0,6,2,11,7,241,108,6,2,6,2,4,1,0.0,0.8,6803,0.4722727272727273,0.3333333333333333,0.4475920679886686,0.0
Labeeb Ahmed,Adam Williams,7,928,979,0.4306492811221761,0.4681681105837757,20,6,98,35,4,1,21,8,4,0,39,16,9,4,21,8,4,2,0.0,0.6666666666666666,6803,0.35714285714285715,0.38095238095238093,0.3,0.25
Adam Abbas,Imran Puri,7,974,636,0.8733372031383986,0.6995172276624274,4,1,22,7,75,10,365,83,4,0,22,7,4,0,23,7,4,1,0.0,0.8,6803,0.3181818181818182,0.2273972602739726,0.25,0.13333333333333333
Dean Young,William Forster,7,1110,985,0.6655072126279344,0.5774953651858118,127,48,707,300,1,0,4,0,72,32,400,172,4,0,4,0,4,2,0.0,0.6666666666666666,6803,0.4243281471004243,0.0,0.3779527559055118,0.0
Craig Barber,Daniel Womersley,7,931,1107,0.273976559281507,0.3917409692534856,78,32,486,220,123,58,638,305,4,0,4,0,46,22,219,103,0,4,1.0,0.0,6803,0.45267489711934156,0.4780564263322884,0.41025641025641024,0.4715447154471545
Ronnie Blake,Patrick Whelan,7,944,1077,0.32463153716994,0.4176324592719206,16,4,84,31,68,33,362,182,7,3,17,5,27,18,77,44,3,4,1.0,0.4285714285714286,6803,0.36904761904761907,0.5027624309392266,0.25,0.4852941176470588
Alexander Widau,Stuart Watson,7,997,940,0.5774056625100121,0.5355648379838539,1,0,7,3,70,19,386,150,7,3,7,3,11,5,55,27,3,4,1.0,0.4285714285714286,6803,0.42857142857142855,0.38860103626943004,0.0,0.2714285714285714
Lewis Ullah,Faizaan Mohammed,7,1020,962,0.578744911388209,0.5361866202317948,38,16,208,94,16,5,81,32,10,5,100,50,10,6,37,15,4,1,0.0,0.8,6803,0.4519230769230769,0.3950617283950617,0.42105263157894735,0.3125
Gary Thomson,Jamie O'Neill,7,1096,1112,0.4781366606027012,0.4900013331200346,184,93,1288,654,397,195,2438,1226,11,6,50,25,5,1,156,70,4,3,0.0,0.5714285714285714,6803,0.5077639751552795,0.5028712059064807,0.5054347826086957,0.491183879093199
Marc Shaw,Joshua Thomond,7,906,1045,0.3173199983055565,0.4139887955611293,10,1,48,10,91,37,501,232,4,0,22,2,60,26,215,97,2,4,1.0,0.3333333333333333,6803,0.20833333333333334,0.4630738522954092,0.1,0.4065934065934066
Andres Petrov,Jason Tart,7,1077,987,0.6210041469292467,0.55601389054462,74,26,457,194,26,9,133,57,16,11,232,92,9,5,29,16,3,4,1.0,0.4285714285714286,6803,0.424507658643326,0.42857142857142855,0.35135135135135137,0.34615384615384615
Zack Richardson,Oliver Sykes,7,1178,1081,0.6300664956451868,0.5603296426885533,88,46,486,269,19,8,121,58,23,15,104,60,6,2,116,57,1,4,1.0,0.1999999999999999,6803,0.5534979423868313,0.4793388429752066,0.5227272727272727,0.42105263157894735
Fergal Quinn (II),Ronnie Sullivan,7,1049,945,0.6390526295107546,0.5646362918030292,43,20,229,113,5,0,24,4,24,10,124,62,7,3,24,4,4,1,0.0,0.8,6803,0.49344978165938863,0.16666666666666666,0.46511627906976744,0.0
George Pragnell (II),Denys Khmelevskyi,7,1083,990,0.6248970337106214,0.5578645727207344,29,17,173,93,5,1,30,14,18,12,82,44,11,7,11,7,4,2,0.0,0.6666666666666666,6803,0.5375722543352601,0.4666666666666667,0.5862068965517241,0.2
Michał Kotiuk,Barry Pinches,7,969,1160,0.2573315456989991,0.3828426373470278,3,0,16,4,883,444,6517,3335,4,0,16,4,8,4,248,120,3,4,1.0,0.4285714285714286,6803,0.25,0.5117385299984656,0.0,0.5028312570781427
Andrew Pagett,Riley Powell,7,1094,968,0.6667467241528153,0.5781052328843092,363,156,2324,1081,17,6,75,27,37,13,390,160,13,5,75,27,4,1,0.0,0.8,6803,0.4651462994836489,0.36,0.4297520661157025,0.35294117647058826
Sean O'Sullivan,William Lemons,7,1107,1071,0.549086208422272,0.5224848247918001,292,110,1822,806,49,21,280,132,12,6,247,105,14,10,14,10,4,1,0.0,0.8,6803,0.442371020856202,0.4714285714285714,0.3767123287671233,0.42857142857142855
Phil O'Kane,Daniel Boyes,7,1082,1009,0.5987085312450529,0.5454987872127821,127,59,667,325,4,2,18,10,20,11,76,40,17,10,18,10,4,2,0.0,0.6666666666666666,6803,0.487256371814093,0.5555555555555556,0.4645669291338583,0.5
Saqib Nasir,Jenson Kendrick,7,1028,1113,0.3855129272771354,0.4470740118670941,133,62,722,364,81,29,500,212,4,0,38,12,13,7,259,107,4,3,0.0,0.5714285714285714,6803,0.5041551246537396,0.424,0.46616541353383456,0.35802469135802467
